t_emb (ms),Isemb (a.u.),Vp2p (V),f (kHz),q (slm),x_pos (mm),y_pos (mm),dsep (mm),T_emb (K),P_emb (W),Pset (W),duty (%),V_emb (kV),I_emb (mA)
1.868200000000000000e+04,1.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.540000000000000036e+00,0.000000000000000000e+00,1.000018000000000029e+02,1.679999999999999938e+00,1.209999999999999964e+00
4.053100000000000000e+04,0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.549999999999999822e+00,0.000000000000000000e+00,1.000018000000000029e+02,1.679999999999999938e+00,1.209999999999999964e+00
4.161700000000000000e+04,0.000000000000000000e+00,9.060000000000000497e+00,2.000000000000000000e+01,2.790000000000000036e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.470000000000000195e+00,2.350000000000000089e+00,1.000018000000000029e+02,1.610000000000000098e+00,1.219999999999999973e+00
4.263100000000000000e+04,0.000000000000000000e+00,7.120000000000000107e+00,2.000000000000000000e+01,3.490000000000000213e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.100000000000000089e+00,2.060000000000000053e+00,1.000019000000000062e+02,1.399999999999999911e+00,1.179999999999999938e+00
4.364300000000000000e+04,0.000000000000000000e+00,5.650000000000000355e+00,2.000000000000000000e+01,4.730000000000000426e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.620000000000000107e+00,1.639999999999999902e+00,1.000019000000000062e+02,1.110000000000000098e+00,1.129999999999999893e+00
4.463600000000000000e+04,0.000000000000000000e+00,5.169999999999999929e+00,2.000000000000000000e+01,5.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.479999999999999982e+00,1.520000000000000018e+00,1.000018000000000029e+02,1.020000000000000018e+00,1.120000000000000107e+00
4.564900000000000000e+04,0.000000000000000000e+00,7.169999999999999929e+00,2.000000000000000000e+01,5.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.080000000000000071e+00,2.109999999999999876e+00,1.000018000000000029e+02,1.399999999999999911e+00,1.169999999999999929e+00
4.661800000000000000e+04,0.000000000000000000e+00,9.509999999999999787e+00,2.000000000000000000e+01,4.929999999999999716e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.500000000000000000e+00,2.560000000000000053e+00,1.000018000000000029e+02,1.629999999999999893e+00,1.219999999999999973e+00
4.761800000000000000e+04,0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,3.640000000000000124e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.560000000000000053e+00,2.879999999999999893e+00,1.000018000000000029e+02,1.669999999999999929e+00,1.229999999999999982e+00
4.862000000000000000e+04,0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,3.180000000000000160e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.600000000000000089e+00,2.810000000000000053e+00,1.000019000000000062e+02,1.679999999999999938e+00,1.239999999999999991e+00
4.961200000000000000e+04,0.000000000000000000e+00,9.880000000000000782e+00,2.000000000000000000e+01,3.720000000000000195e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.509999999999999787e+00,2.470000000000000195e+00,1.000018000000000029e+02,1.669999999999999929e+00,1.199999999999999956e+00
