t_emb (ms),Isemb (a.u.),Vp2p (V),f (kHz),q (slm),x_pos (mm),y_pos (mm),dsep (mm),T_emb (K),P_emb (W),Pset (W),duty (%),V_emb (kV),I_emb (mA)
3.926700000000000000e+04,4.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.549999999999999822e+00,6.000000000000000000e+00,1.000016999999999996e+02,1.689999999999999947e+00,1.209999999999999964e+00
6.117200000000000000e+04,3.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.569999999999999840e+00,0.000000000000000000e+00,1.000014999999999930e+02,1.689999999999999947e+00,1.219999999999999973e+00
6.221600000000000000e+04,3.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,1.850000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.549999999999999822e+00,2.660000000000000142e+00,1.000015999999999963e+02,1.699999999999999956e+00,1.199999999999999956e+00
6.323300000000000000e+04,3.000000000000000000e+00,8.279999999999999361e+00,2.000000000000000000e+01,2.979999999999999982e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.419999999999999929e+00,2.270000000000000018e+00,1.000015999999999963e+02,1.590000000000000080e+00,1.209999999999999964e+00
6.424400000000000000e+04,3.000000000000000000e+00,5.320000000000000284e+00,2.000000000000000000e+01,5.360000000000000320e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.550000000000000044e+00,1.560000000000000053e+00,1.000014999999999930e+02,1.060000000000000053e+00,1.129999999999999893e+00
6.523500000000000000e+04,4.000000000000000000e+00,5.959999999999999964e+00,2.000000000000000000e+01,5.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.729999999999999982e+00,1.760000000000000009e+00,1.000015999999999963e+02,1.179999999999999938e+00,1.139999999999999902e+00
6.624900000000000000e+04,3.000000000000000000e+00,8.220000000000000639e+00,2.000000000000000000e+01,5.490000000000000213e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.330000000000000071e+00,2.370000000000000107e+00,1.000016999999999996e+02,1.560000000000000053e+00,1.179999999999999938e+00
6.720200000000000000e+04,3.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,5.160000000000000142e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.540000000000000036e+00,2.859999999999999876e+00,1.000015999999999963e+02,1.689999999999999947e+00,1.199999999999999956e+00
6.820300000000000000e+04,2.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.919999999999999929e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.529999999999999805e+00,3.029999999999999805e+00,1.000015999999999963e+02,1.689999999999999947e+00,1.199999999999999956e+00
6.920700000000000000e+04,2.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,5.040000000000000036e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.540000000000000036e+00,3.029999999999999805e+00,1.000014999999999930e+02,1.679999999999999938e+00,1.199999999999999956e+00
7.023100000000000000e+04,3.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.830000000000000071e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.580000000000000071e+00,3.080000000000000071e+00,1.000014999999999930e+02,1.679999999999999938e+00,1.229999999999999982e+00
7.125500000000000000e+04,3.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.959999999999999964e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.569999999999999840e+00,3.029999999999999805e+00,1.000014999999999930e+02,1.679999999999999938e+00,1.219999999999999973e+00
7.221000000000000000e+04,3.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.959999999999999964e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.569999999999999840e+00,3.020000000000000018e+00,1.000015999999999963e+02,1.679999999999999938e+00,1.219999999999999973e+00
7.321200000000000000e+04,3.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.679999999999999716e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.529999999999999805e+00,3.089999999999999858e+00,1.000014999999999930e+02,1.689999999999999947e+00,1.199999999999999956e+00
7.421400000000000000e+04,3.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.730000000000000426e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.560000000000000053e+00,3.049999999999999822e+00,1.000014999999999930e+02,1.689999999999999947e+00,1.209999999999999964e+00
7.521500000000000000e+04,2.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.589999999999999858e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.560000000000000053e+00,3.060000000000000053e+00,1.000015999999999963e+02,1.679999999999999938e+00,1.219999999999999973e+00
7.621700000000000000e+04,3.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.940000000000000391e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.549999999999999822e+00,2.950000000000000178e+00,1.000014999999999930e+02,1.679999999999999938e+00,1.209999999999999964e+00
7.724000000000000000e+04,2.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.900000000000000355e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.540000000000000036e+00,2.970000000000000195e+00,1.000015999999999963e+02,1.689999999999999947e+00,1.199999999999999956e+00
7.821800000000000000e+04,2.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.700000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.549999999999999822e+00,3.029999999999999805e+00,1.000016999999999996e+02,1.679999999999999938e+00,1.209999999999999964e+00
7.921900000000000000e+04,3.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.830000000000000071e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.580000000000000071e+00,2.979999999999999982e+00,1.000015999999999963e+02,1.679999999999999938e+00,1.219999999999999973e+00
8.022200000000000000e+04,4.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.889999999999999680e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.529999999999999805e+00,2.970000000000000195e+00,1.000016999999999996e+02,1.689999999999999947e+00,1.199999999999999956e+00
8.122200000000000000e+04,3.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.839999999999999858e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.560000000000000053e+00,3.000000000000000000e+00,1.000015999999999963e+02,1.679999999999999938e+00,1.219999999999999973e+00
8.222500000000000000e+04,4.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.780000000000000249e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.560000000000000053e+00,3.020000000000000018e+00,1.000016999999999996e+02,1.679999999999999938e+00,1.209999999999999964e+00
8.322700000000000000e+04,4.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.809999999999999609e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.540000000000000036e+00,3.009999999999999787e+00,1.000015999999999963e+02,1.679999999999999938e+00,1.199999999999999956e+00
8.425100000000000000e+04,2.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.820000000000000284e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.569999999999999840e+00,3.009999999999999787e+00,1.000016999999999996e+02,1.679999999999999938e+00,1.219999999999999973e+00
8.522900000000000000e+04,3.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.969999999999999751e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.540000000000000036e+00,2.959999999999999964e+00,1.000015999999999963e+02,1.689999999999999947e+00,1.199999999999999956e+00
8.623200000000000000e+04,2.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.879999999999999893e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.569999999999999840e+00,3.000000000000000000e+00,1.000015999999999963e+02,1.679999999999999938e+00,1.219999999999999973e+00
8.725600000000000000e+04,3.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.769999999999999574e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.549999999999999822e+00,3.040000000000000036e+00,1.000015999999999963e+02,1.679999999999999938e+00,1.209999999999999964e+00
8.823300000000000000e+04,3.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.830000000000000071e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.529999999999999805e+00,3.009999999999999787e+00,1.000016999999999996e+02,1.689999999999999947e+00,1.199999999999999956e+00
8.923300000000000000e+04,3.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.870000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.540000000000000036e+00,3.009999999999999787e+00,1.000015999999999963e+02,1.689999999999999947e+00,1.199999999999999956e+00
9.023200000000000000e+04,3.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.839999999999999858e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.569999999999999840e+00,3.029999999999999805e+00,1.000015999999999963e+02,1.679999999999999938e+00,1.219999999999999973e+00
9.123500000000000000e+04,3.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.839999999999999858e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.560000000000000053e+00,3.029999999999999805e+00,1.000015999999999963e+02,1.699999999999999956e+00,1.199999999999999956e+00
9.226100000000000000e+04,5.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.849999999999999645e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.529999999999999805e+00,3.000000000000000000e+00,1.000016999999999996e+02,1.689999999999999947e+00,1.199999999999999956e+00
9.323900000000000000e+04,3.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.780000000000000249e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.529999999999999805e+00,3.020000000000000018e+00,1.000016999999999996e+02,1.689999999999999947e+00,1.199999999999999956e+00
9.424000000000000000e+04,3.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.660000000000000142e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.549999999999999822e+00,3.040000000000000036e+00,1.000015999999999963e+02,1.689999999999999947e+00,1.209999999999999964e+00
9.524300000000000000e+04,3.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.750000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.529999999999999805e+00,3.000000000000000000e+00,1.000016999999999996e+02,1.689999999999999947e+00,1.189999999999999947e+00
9.624500000000000000e+04,3.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.799999999999999822e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.569999999999999840e+00,2.959999999999999964e+00,1.000015999999999963e+02,1.679999999999999938e+00,1.219999999999999973e+00
9.724700000000000000e+04,3.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.790000000000000036e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.549999999999999822e+00,2.959999999999999964e+00,1.000015999999999963e+02,1.679999999999999938e+00,1.209999999999999964e+00
9.824800000000000000e+04,3.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.589999999999999858e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.529999999999999805e+00,3.009999999999999787e+00,1.000015999999999963e+02,1.689999999999999947e+00,1.199999999999999956e+00
9.924900000000000000e+04,4.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.769999999999999574e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.529999999999999805e+00,2.950000000000000178e+00,1.000015999999999963e+02,1.689999999999999947e+00,1.199999999999999956e+00
1.002520000000000000e+05,3.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.940000000000000391e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.589999999999999858e+00,2.910000000000000142e+00,1.000016999999999996e+02,1.679999999999999938e+00,1.229999999999999982e+00
1.012420000000000000e+05,4.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.950000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.540000000000000036e+00,2.910000000000000142e+00,1.000015999999999963e+02,1.679999999999999938e+00,1.199999999999999956e+00
1.022320000000000000e+05,3.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.690000000000000391e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.540000000000000036e+00,3.000000000000000000e+00,1.000016999999999996e+02,1.689999999999999947e+00,1.199999999999999956e+00
1.032430000000000000e+05,3.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.830000000000000071e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.560000000000000053e+00,2.970000000000000195e+00,1.000016999999999996e+02,1.679999999999999938e+00,1.209999999999999964e+00
1.042560000000000000e+05,3.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.730000000000000426e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.589999999999999858e+00,2.990000000000000213e+00,1.000016999999999996e+02,1.679999999999999938e+00,1.229999999999999982e+00
1.052440000000000000e+05,4.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.860000000000000320e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.569999999999999840e+00,2.950000000000000178e+00,1.000015999999999963e+02,1.679999999999999938e+00,1.219999999999999973e+00
1.062330000000000000e+05,3.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.849999999999999645e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.549999999999999822e+00,2.970000000000000195e+00,1.000015999999999963e+02,1.679999999999999938e+00,1.209999999999999964e+00
