t_emb (ms),Isemb (a.u.),Vp2p (V),f (kHz),q (slm),x_pos (mm),y_pos (mm),dsep (mm),T_emb (K),P_emb (W),Pset (W),duty (%),V_emb (kV),I_emb (mA)
1.895900000000000000e+04,0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.540000000000000036e+00,5.000000000000000278e-02,1.000018000000000029e+02,1.679999999999999938e+00,1.209999999999999964e+00
4.082400000000000000e+04,0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.569999999999999840e+00,0.000000000000000000e+00,1.000016999999999996e+02,1.679999999999999938e+00,1.219999999999999973e+00
4.190800000000000000e+04,1.000000000000000000e+00,8.730000000000000426e+00,2.000000000000000000e+01,2.799999999999999822e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.410000000000000142e+00,2.350000000000000089e+00,1.000016999999999996e+02,1.590000000000000080e+00,1.199999999999999956e+00
4.294500000000000000e+04,1.000000000000000000e+00,6.900000000000000355e+00,2.000000000000000000e+01,3.759999999999999787e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.029999999999999805e+00,2.020000000000000018e+00,1.000016999999999996e+02,1.360000000000000098e+00,1.179999999999999938e+00
4.395800000000000000e+04,1.000000000000000000e+00,5.309999999999999609e+00,2.000000000000000000e+01,5.469999999999999751e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.560000000000000053e+00,1.560000000000000053e+00,1.000018000000000029e+02,1.060000000000000053e+00,1.139999999999999902e+00
4.494800000000000000e+04,1.000000000000000000e+00,5.990000000000000213e+00,2.000000000000000000e+01,5.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.729999999999999982e+00,1.760000000000000009e+00,1.000016999999999996e+02,1.179999999999999938e+00,1.139999999999999902e+00
4.596100000000000000e+04,0.000000000000000000e+00,7.839999999999999858e+00,2.000000000000000000e+01,5.490000000000000213e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.279999999999999805e+00,2.290000000000000036e+00,1.000015999999999963e+02,1.510000000000000009e+00,1.199999999999999956e+00
4.690600000000000000e+04,0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,5.490000000000000213e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.560000000000000053e+00,2.700000000000000178e+00,1.000014999999999930e+02,1.669999999999999929e+00,1.229999999999999982e+00
4.790700000000000000e+04,0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.709999999999999964e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.580000000000000071e+00,2.970000000000000195e+00,1.000014999999999930e+02,1.669999999999999929e+00,1.229999999999999982e+00
4.890900000000000000e+04,0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.799999999999999822e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.560000000000000053e+00,2.870000000000000107e+00,1.000016999999999996e+02,1.679999999999999938e+00,1.219999999999999973e+00
4.991100000000000000e+04,0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.669999999999999929e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.540000000000000036e+00,2.830000000000000071e+00,1.000016999999999996e+02,1.679999999999999938e+00,1.209999999999999964e+00
5.095800000000000000e+04,2.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.940000000000000391e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.549999999999999822e+00,2.680000000000000160e+00,1.000019000000000062e+02,1.669999999999999929e+00,1.219999999999999973e+00
5.191000000000000000e+04,4.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.679999999999999716e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.560000000000000053e+00,2.720000000000000195e+00,1.000019000000000062e+02,1.669999999999999929e+00,1.219999999999999973e+00
5.293600000000000000e+04,3.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.690000000000000391e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.540000000000000036e+00,2.660000000000000142e+00,1.000019000000000062e+02,1.679999999999999938e+00,1.209999999999999964e+00
5.391100000000000000e+04,2.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.959999999999999964e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.569999999999999840e+00,2.540000000000000036e+00,1.000018000000000029e+02,1.669999999999999929e+00,1.229999999999999982e+00
5.491400000000000000e+04,3.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.910000000000000142e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.560000000000000053e+00,2.540000000000000036e+00,1.000019999999999953e+02,1.669999999999999929e+00,1.229999999999999982e+00
5.591500000000000000e+04,4.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.929999999999999716e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.560000000000000053e+00,2.529999999999999805e+00,1.000018000000000029e+02,1.679999999999999938e+00,1.209999999999999964e+00
5.691600000000000000e+04,2.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.879999999999999893e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.560000000000000053e+00,2.540000000000000036e+00,1.000019000000000062e+02,1.669999999999999929e+00,1.229999999999999982e+00
5.791900000000000000e+04,4.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.900000000000000355e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.580000000000000071e+00,2.540000000000000036e+00,1.000019999999999953e+02,1.669999999999999929e+00,1.239999999999999991e+00
5.892100000000000000e+04,4.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.769999999999999574e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.540000000000000036e+00,2.569999999999999840e+00,1.000020999999999987e+02,1.679999999999999938e+00,1.209999999999999964e+00
5.992400000000000000e+04,3.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.900000000000000355e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.569999999999999840e+00,2.540000000000000036e+00,1.000019999999999953e+02,1.659999999999999920e+00,1.229999999999999982e+00
6.091600000000000000e+04,4.000000000000000000e+00,9.810000000000000497e+00,2.000000000000000000e+01,5.040000000000000036e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.540000000000000036e+00,2.500000000000000000e+00,1.000019999999999953e+02,1.659999999999999920e+00,1.219999999999999973e+00
6.192900000000000000e+04,3.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.889999999999999680e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.549999999999999822e+00,2.549999999999999822e+00,1.000020999999999987e+02,1.679999999999999938e+00,1.209999999999999964e+00
6.292900000000000000e+04,4.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.889999999999999680e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.540000000000000036e+00,2.569999999999999840e+00,1.000019999999999953e+02,1.679999999999999938e+00,1.209999999999999964e+00
6.393100000000000000e+04,4.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.839999999999999858e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.560000000000000053e+00,2.560000000000000053e+00,1.000019999999999953e+02,1.669999999999999929e+00,1.229999999999999982e+00
6.493000000000000000e+04,3.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.769999999999999574e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.549999999999999822e+00,2.549999999999999822e+00,1.000020999999999987e+02,1.679999999999999938e+00,1.209999999999999964e+00
6.594400000000000000e+04,5.000000000000000000e+00,9.849999999999999645e+00,2.000000000000000000e+01,4.830000000000000071e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.540000000000000036e+00,2.529999999999999805e+00,1.000020999999999987e+02,1.659999999999999920e+00,1.219999999999999973e+00
6.695800000000000000e+04,3.000000000000000000e+00,9.500000000000000000e+00,2.000000000000000000e+01,4.990000000000000213e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.500000000000000000e+00,2.490000000000000213e+00,1.000019999999999953e+02,1.649999999999999911e+00,1.209999999999999964e+00
6.794900000000000000e+04,4.000000000000000000e+00,9.919999999999999929e+00,2.000000000000000000e+01,4.730000000000000426e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.529999999999999805e+00,2.569999999999999840e+00,1.000020999999999987e+02,1.669999999999999929e+00,1.209999999999999964e+00
6.892400000000000000e+04,3.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.719999999999999751e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.589999999999999858e+00,2.569999999999999840e+00,1.000019999999999953e+02,1.669999999999999929e+00,1.239999999999999991e+00
6.991700000000000000e+04,4.000000000000000000e+00,9.910000000000000142e+00,2.000000000000000000e+01,4.750000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.529999999999999805e+00,2.540000000000000036e+00,1.000020999999999987e+02,1.669999999999999929e+00,1.209999999999999964e+00
7.093100000000000000e+04,4.000000000000000000e+00,9.259999999999999787e+00,2.000000000000000000e+01,4.929999999999999716e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.490000000000000213e+00,2.459999999999999964e+00,1.000020999999999987e+02,1.629999999999999893e+00,1.219999999999999973e+00
7.196700000000000000e+04,4.000000000000000000e+00,9.210000000000000853e+00,2.000000000000000000e+01,4.839999999999999858e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.470000000000000195e+00,2.490000000000000213e+00,1.000020999999999987e+02,1.620000000000000107e+00,1.209999999999999964e+00
