Ts (degC),I (a.u.),P (W),q (slm)
5.004999999999999716e+01,2.335423491541343901e+04,2.347637596629972290e+00,2.806388935914149840e+00
5.182000000000000028e+01,4.723398169172959751e+04,1.956224165478678945e+00,4.199652252158143639e+00
5.222999999999999687e+01,2.836877109022492732e+04,1.563877303558130150e+00,5.499972679591241587e+00
4.824000000000000199e+01,-1.425263063910533674e+02,1.885947436472631411e+00,5.493953560533243241e+00
4.553999999999999915e+01,-6.075784342105730502e+03,2.463480214443798388e+00,5.487402642495906591e+00
4.697999999999999687e+01,3.697122532894748292e+04,2.874120133204093097e+00,5.484051620583477060e+00
4.872999999999999687e+01,3.286001275375927798e+04,3.106819287706421129e+00,5.482595600557843341e+00
4.965999999999999659e+01,1.806142136278184262e+04,3.211715055166167510e+00,5.481595433477620460e+00
5.003000000000000114e+01,1.110867524436078020e+04,3.316689146858267101e+00,5.481780200947306447e+00
5.043999999999999773e+01,3.322057843984991632e+04,3.366919303882154324e+00,5.481835814801324425e+00
5.100000000000000000e+01,5.915605468984962499e+04,3.377587639726472357e+00,5.482115873433272668e+00
5.114999999999999858e+01,1.844342142857158251e+04,3.385942606109155317e+00,5.482332577344947389e+00
5.125999999999999801e+01,6.708443464285743539e+04,3.389678948579190276e+00,5.482714028310781806e+00
5.117999999999999972e+01,5.356155840225555585e+04,3.386558793742637796e+00,5.482470997393302348e+00
5.082000000000000028e+01,4.189374149436109292e+04,3.406433332128235847e+00,5.482251316771345806e+00
5.099000000000000199e+01,2.805008867481189736e+04,3.419369367348126243e+00,5.482265608128667367e+00
5.068999999999999773e+01,4.791199793233109813e+04,3.427980861807744972e+00,5.481715494869494165e+00
5.057000000000000028e+01,4.299711930451207445e+04,3.470996711859985595e+00,5.482119012657691748e+00
5.047999999999999687e+01,4.099349754699332698e+04,3.471094423225168146e+00,5.481631977688429913e+00
5.057999999999999829e+01,1.557798978383425492e+04,3.480441876981529070e+00,5.481924405477236029e+00
5.082999999999999829e+01,5.638596907894736796e+04,3.447395225007491959e+00,5.481690347725054480e+00
5.128000000000000114e+01,5.236899386278200836e+04,3.408421780512278065e+00,5.481541703271563648e+00
5.099000000000000199e+01,5.977173876879657473e+04,3.444926312586334305e+00,5.482228074095926829e+00
5.072999999999999687e+01,3.405208454887246626e+04,3.466956748770350316e+00,5.482430280806717349e+00
5.071000000000000085e+01,8.872724520677122200e+03,3.431510981288949935e+00,5.481440699174444653e+00
5.109000000000000341e+01,5.011555071428622614e+04,3.456717291875334386e+00,5.482409297973070750e+00
5.100000000000000000e+01,5.765207571428512165e+04,3.446659101133327852e+00,5.482429939644528183e+00
5.128999999999999915e+01,3.328057006579013978e+04,3.407810975107724794e+00,5.482216353837564782e+00
5.150999999999999801e+01,3.508265937969875813e+04,3.397296474852865789e+00,5.482546666467907670e+00
5.182000000000000028e+01,2.923292151315829688e+04,3.389617624990343803e+00,5.483172167376114459e+00
5.186999999999999744e+01,4.739547865601467493e+04,3.363414137184249419e+00,5.483166684789094525e+00
5.164999999999999858e+01,4.609820593985017331e+04,3.356552300027201063e+00,5.482865133391098489e+00
5.160000000000000142e+01,3.384303775375941768e+04,3.383841861414497831e+00,5.483246558306024809e+00
5.178000000000000114e+01,2.324484566729309518e+04,3.394420643285234629e+00,5.483595739455489948e+00
5.211999999999999744e+01,3.179827184210493579e+04,3.336562694117742200e+00,5.482857659596832356e+00
5.224000000000000199e+01,5.706878957706814981e+04,3.343078315007129042e+00,5.483390292939137822e+00
5.185999999999999943e+01,1.426963031954875441e+04,3.379664179112681133e+00,5.483946465613591670e+00
5.160000000000000142e+01,2.307139965225609194e+04,3.382072542882769373e+00,5.483495928574530609e+00
5.185999999999999943e+01,1.247936687030095163e+04,3.389949272533210767e+00,5.483908305323508259e+00
5.178999999999999915e+01,1.732809456766907897e+04,3.377597448913149059e+00,5.483652498490641847e+00
5.188000000000000256e+01,2.958252363721806978e+04,3.354725144157010064e+00,5.483555573365590519e+00
5.164000000000000057e+01,5.183214888157906535e+04,3.358055660451767288e+00,5.483385562964858906e+00
5.171999999999999886e+01,4.252790348684244236e+04,3.355408492754752281e+00,5.483156038239666685e+00
5.186999999999999744e+01,3.962970434210514941e+04,3.351399162090947570e+00,5.483372053419975245e+00
5.177000000000000313e+01,3.509423887217985612e+04,3.373602636129016119e+00,5.483610330751745643e+00
5.217999999999999972e+01,3.674542522556366748e+04,3.354721585433759756e+00,5.483851066820642828e+00
5.260999999999999943e+01,4.755414234022500023e+04,3.296303580227007757e+00,5.483312087060119744e+00
5.242999999999999972e+01,3.453632906954905775e+04,3.322942151572709335e+00,5.483956675649318768e+00
5.213000000000000256e+01,4.190667603383457754e+04,3.354363819896349241e+00,5.484181650270675057e+00
5.221000000000000085e+01,4.502057402255602210e+04,3.342566786509599375e+00,5.483607068759277503e+00
5.232999999999999829e+01,4.433960131578925211e+04,3.340799294467831082e+00,5.483733839263215337e+00
5.200999999999999801e+01,2.962465328007509743e+04,3.369755999725479789e+00,5.483982632781617461e+00
5.253999999999999915e+01,4.815159487781934149e+04,3.331292017366008107e+00,5.483536512953627096e+00
5.256000000000000227e+01,1.673002609962398492e+04,3.334874122453562517e+00,5.483782427895626199e+00
5.263000000000000256e+01,4.560915716165430058e+04,3.332763805358693876e+00,5.484017059279666206e+00
5.242999999999999972e+01,4.809012501879734191e+04,3.324211549236278707e+00,5.483306760748646091e+00
5.264000000000000057e+01,4.442188962406032806e+04,3.346151025347368080e+00,5.484004418376862589e+00
5.267000000000000171e+01,6.788169501879665768e+04,3.333540900758355185e+00,5.483551708563108917e+00
5.247999999999999687e+01,4.249427368421103165e+04,3.355426735459596799e+00,5.483796568448395803e+00
5.253999999999999915e+01,5.126438419172944850e+04,3.374442461174885111e+00,5.484244657025846514e+00
5.296000000000000085e+01,3.346226954886945350e+03,3.347429396713592187e+00,5.484640401555691547e+00
5.300999999999999801e+01,5.644103326127780747e+04,3.306753458275351942e+00,5.484598328881959972e+00
5.307000000000000028e+01,3.137660585526378054e+04,3.283057224920216122e+00,5.484225373714492591e+00
5.332000000000000028e+01,5.082941410714324593e+04,3.279341717493740038e+00,5.484848788902404237e+00
5.322999999999999687e+01,3.737145693609104637e+04,3.282603838616308334e+00,5.485186615190617232e+00
5.321999999999999886e+01,2.504890595864634088e+04,3.274200045037594986e+00,5.484664832885506769e+00
5.238000000000000256e+01,3.015533895676636166e+04,3.338575107880910942e+00,5.484793507923891198e+00
5.238000000000000256e+01,2.924560968045140908e+04,3.346090383597237761e+00,5.484512671489268243e+00
5.264000000000000057e+01,4.302766945488715282e+04,3.335436438046698093e+00,5.484407324763426850e+00
5.285000000000000142e+01,4.990859808270655049e+04,3.327653241239996618e+00,5.484765032317641342e+00
5.327000000000000313e+01,2.281899135338322958e+04,3.292995587373668265e+00,5.484826457166835034e+00
5.300000000000000000e+01,5.048092065789431217e+04,3.292106480044228345e+00,5.484586574845436324e+00
5.313000000000000256e+01,4.205905722744396189e+04,3.277302279447348532e+00,5.484621362369603403e+00
5.309000000000000341e+01,3.353852173872178537e+04,3.276386890974797517e+00,5.484457724761348629e+00
5.288000000000000256e+01,3.652245840225538268e+04,3.319277498881278099e+00,5.485293990455914148e+00
5.278000000000000114e+01,1.160659342105711175e+03,3.328572413009238229e+00,5.485652609451701522e+00
5.307000000000000028e+01,2.682734354323378648e+04,3.297087947418348985e+00,5.485358665828711899e+00
5.296000000000000085e+01,2.302508168233067772e+04,3.272525870513188551e+00,5.484998390460331663e+00
5.303000000000000114e+01,8.582190126879679156e+04,3.269773733223018120e+00,5.484921750070991919e+00
5.332000000000000028e+01,2.441228024436142732e+04,3.255062426378096063e+00,5.484949691045131637e+00
5.335000000000000142e+01,6.270418364661659143e+04,3.245552043538316056e+00,5.484758513035484562e+00
5.320000000000000284e+01,2.059511286654059222e+04,3.267578155314647681e+00,5.484954483816768978e+00
5.285000000000000142e+01,1.454803088345869037e+04,3.315619446044681506e+00,5.485287711423097790e+00
5.311999999999999744e+01,2.034159589285763286e+04,3.277811165715265762e+00,5.484669900527462616e+00
5.336999999999999744e+01,6.032102554511339986e+04,3.270845122017795870e+00,5.484582469807299354e+00
5.334000000000000341e+01,5.598462879699296172e+04,3.290476859509265495e+00,5.485035537301136799e+00
5.303000000000000114e+01,4.401968703947309405e+04,3.301753033590463016e+00,5.485149422712009226e+00
5.288000000000000256e+01,5.213112152255613182e+04,3.310758756588898510e+00,5.485000350176374440e+00
5.281000000000000227e+01,3.823154221804505505e+04,3.314512589216960237e+00,5.484637183107868630e+00
5.307000000000000028e+01,2.571029207706774832e+04,3.291277423511781652e+00,5.483864673143893143e+00
5.285999999999999943e+01,2.496871181390988204e+04,3.330882846289003218e+00,5.484407661274182999e+00
5.303000000000000114e+01,2.246433859962453062e+04,3.328763410659955735e+00,5.484397200330267452e+00
5.335000000000000142e+01,5.873734516917288420e+04,3.318802460422318301e+00,5.484998523758455313e+00
5.332000000000000028e+01,4.177535966165428545e+04,3.289438500322228176e+00,5.484790329514527052e+00
5.310999999999999943e+01,4.514117320488695259e+04,3.298460854556738209e+00,5.484979960518947095e+00
5.317000000000000171e+01,9.979305169167259919e+02,3.305734813850793152e+00,5.485177154034449387e+00
5.289999999999999858e+01,3.082855093984975974e+04,3.293391216200971083e+00,5.484860932462036764e+00
5.347999999999999687e+01,3.572396616541375261e+04,3.279434328750195693e+00,5.485078832307738850e+00
5.350000000000000000e+01,5.684582275375977042e+04,3.277057361616633635e+00,5.485459731590827559e+00
5.331000000000000227e+01,5.821552889097821753e+04,3.258347560934699683e+00,5.485318384890893739e+00
5.275000000000000000e+01,4.502500872180489387e+04,3.276896130430160259e+00,5.484593216321175468e+00
5.303999999999999915e+01,4.819187672932336864e+04,3.283679134027487123e+00,5.484141961377240193e+00
5.342000000000000171e+01,3.774631220864684292e+04,3.292359418256081582e+00,5.484674916376911291e+00
5.357000000000000028e+01,2.973010057330886411e+04,3.297595908319975067e+00,5.485274152031718309e+00
5.352000000000000313e+01,6.837172928571492957e+04,3.292589560457374720e+00,5.485479038472269586e+00
5.278999999999999915e+01,1.451871259398462644e+04,3.306309654588327707e+00,5.485112520077319864e+00
5.296999999999999886e+01,3.501071870300679439e+04,3.303828648358875686e+00,5.484795317688998750e+00
5.277000000000000313e+01,3.758567754699227226e+04,3.311289359594818738e+00,5.484739094264088344e+00
5.315999999999999659e+01,3.564697485902296467e+04,3.299242240226151868e+00,5.485141447940919512e+00
5.292000000000000171e+01,1.313496324248104611e+04,3.298391927340711405e+00,5.485028070362094610e+00
5.300999999999999801e+01,2.797026408834671383e+04,3.290774725629899589e+00,5.484894562754561775e+00
5.297999999999999687e+01,4.496785037594001187e+04,3.287568357805989550e+00,5.484739808953957407e+00
5.284000000000000341e+01,3.945379460526266485e+04,3.308493560244532450e+00,5.485314576858571378e+00
5.250999999999999801e+01,7.335017193609056994e+04,3.308999534536820164e+00,5.484774477617563981e+00
5.250000000000000000e+01,2.882111041353389373e+04,3.315719825064633142e+00,5.484672477420686754e+00
5.235000000000000142e+01,4.516359307330847514e+04,3.318452546396429170e+00,5.484085748602594457e+00
5.265999999999999659e+01,3.225701684210543317e+04,3.307581611693270585e+00,5.483637744073285525e+00
5.292000000000000171e+01,4.299601062969939085e+04,3.300968899531377954e+00,5.483735681858948219e+00
5.325000000000000000e+01,4.653206734962408518e+04,3.316257347579937065e+00,5.484745120249556294e+00
