t_emb (ms),Isemb (a.u.),Vp2p (V),f (kHz),q (slm),x_pos (mm),y_pos (mm),dsep (mm),T_emb (K),P_emb (W),Pset (W),duty (%),V_emb (kV),I_emb (mA)
2.590400000000000000e+04,1.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.410000000000000142e+00,1.200000000000000000e+01,1.000018000000000029e+02,1.709999999999999964e+00,1.120000000000000107e+00
4.777500000000000000e+04,3.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.399999999999999911e+00,0.000000000000000000e+00,1.000019000000000062e+02,1.709999999999999964e+00,1.120000000000000107e+00
4.884800000000000000e+04,0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.450000000000000178e+00,2.709999999999999964e+00,1.000019000000000062e+02,1.689999999999999947e+00,1.149999999999999911e+00
4.985000000000000000e+04,2.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.500000000000000000e+00,2.770000000000000018e+00,1.000019000000000062e+02,1.689999999999999947e+00,1.179999999999999938e+00
5.085200000000000000e+04,1.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,1.949999999999999956e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.549999999999999822e+00,2.560000000000000053e+00,1.000018000000000029e+02,1.679999999999999938e+00,1.209999999999999964e+00
5.186800000000000000e+04,2.000000000000000000e+00,5.330000000000000071e+00,2.000000000000000000e+01,4.040000000000000036e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.550000000000000044e+00,1.500000000000000000e+00,1.000019000000000062e+02,1.060000000000000053e+00,1.129999999999999893e+00
5.290400000000000000e+04,2.000000000000000000e+00,5.049999999999999822e+00,2.000000000000000000e+01,4.059999999999999609e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.469999999999999973e+00,1.500000000000000000e+00,1.000019000000000062e+02,1.000000000000000000e+00,1.139999999999999902e+00
5.384900000000000000e+04,2.000000000000000000e+00,5.160000000000000142e+00,2.000000000000000000e+01,3.950000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.500000000000000000e+00,1.520000000000000018e+00,1.000019000000000062e+02,1.020000000000000018e+00,1.129999999999999893e+00
5.486100000000000000e+04,2.000000000000000000e+00,6.610000000000000320e+00,2.000000000000000000e+01,3.109999999999999876e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.939999999999999947e+00,1.929999999999999938e+00,1.000019000000000062e+02,1.300000000000000044e+00,1.179999999999999938e+00
5.585100000000000000e+04,2.000000000000000000e+00,6.339999999999999858e+00,2.000000000000000000e+01,3.359999999999999876e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.850000000000000089e+00,1.830000000000000071e+00,1.000019999999999953e+02,1.239999999999999991e+00,1.169999999999999929e+00
5.686300000000000000e+04,2.000000000000000000e+00,5.849999999999999645e+00,2.000000000000000000e+01,3.640000000000000124e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.689999999999999947e+00,1.679999999999999938e+00,1.000019000000000062e+02,1.149999999999999911e+00,1.139999999999999902e+00
5.787800000000000000e+04,1.000000000000000000e+00,5.299999999999999822e+00,2.000000000000000000e+01,3.939999999999999947e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.530000000000000027e+00,1.540000000000000036e+00,1.000019000000000062e+02,1.050000000000000044e+00,1.129999999999999893e+00
