Ts (degC),I (a.u.),P (W),q (slm)
4.803000000000000114e+01,1.516125124060196140e+04,2.654345750482822286e+00,1.862035453729316892e+00
5.004999999999999716e+01,3.620537740601474798e+04,2.342305065223151406e+00,3.036931509347864377e+00
5.509000000000000341e+01,3.692995798872198066e+04,1.657262946937613890e+00,5.499815735131553751e+00
5.239000000000000057e+01,2.673877274436020525e+04,1.849698608423300028e+00,5.493924552330796907e+00
4.727000000000000313e+01,3.426963118421090621e+04,2.447045140016057996e+00,5.487953572934183732e+00
4.746000000000000085e+01,3.656668220864705654e+04,2.902232274420237790e+00,5.484123909471278147e+00
4.910000000000000142e+01,1.216240906015059409e+04,3.154141559527019911e+00,5.482522779816608072e+00
4.974000000000000199e+01,-8.384784417293132719e+03,3.310454940648264177e+00,5.482171594957688576e+00
5.004999999999999716e+01,3.072408913533815939e+04,3.375310473422576951e+00,5.481424134431990502e+00
4.993999999999999773e+01,2.606691580827051803e+04,3.429666947546191391e+00,5.480954361990516333e+00
5.014000000000000057e+01,2.876395206766944830e+04,3.464905820211859666e+00,5.480621452206418276e+00
5.021000000000000085e+01,-1.966641293233065880e+04,3.494827578002279722e+00,5.480727746064033568e+00
5.025999999999999801e+01,3.920606737781944685e+04,3.498990974358531680e+00,5.480428322250468831e+00
5.035999999999999943e+01,2.340855998120311051e+04,3.488338773489505940e+00,5.480036307139172891e+00
5.036999999999999744e+01,2.429266655075199378e+04,3.496361372732256889e+00,5.480044655214016736e+00
5.060999999999999943e+01,5.786297030075127986e+04,3.499998108372321504e+00,5.480751286217182994e+00
5.082000000000000028e+01,3.674567159774449829e+04,3.495521717745615486e+00,5.480599404010096265e+00
5.067999999999999972e+01,4.110005351503744168e+04,3.481743358904924257e+00,5.480397048282799943e+00
5.065999999999999659e+01,2.147232101503792728e+04,3.498677506425444950e+00,5.480405486129794390e+00
5.064999999999999858e+01,4.413831524436028121e+04,3.499997870839182568e+00,5.480791779442117928e+00
5.070000000000000284e+01,1.739683240601489524e+04,3.499997725188360054e+00,5.480730849049519016e+00
5.053999999999999915e+01,2.725282829887238040e+04,3.499961942965930106e+00,5.480090588902037041e+00
5.074000000000000199e+01,1.860430246240535780e+04,3.499997625951447588e+00,5.480465230348566585e+00
5.071000000000000085e+01,1.160881077067680235e+04,3.499925146655694430e+00,5.480218230210177843e+00
5.109000000000000341e+01,7.939713073308550520e+03,3.498939894243289217e+00,5.480534126248828741e+00
5.100000000000000000e+01,5.777205896616528480e+04,3.496349985004933547e+00,5.480632312819846419e+00
5.110000000000000142e+01,1.432013661654125463e+04,3.477131783812487775e+00,5.480222236062368246e+00
5.131000000000000227e+01,-2.772056588346596527e+03,3.499430438759403295e+00,5.480695185460493946e+00
5.135000000000000142e+01,4.795018562030113571e+03,3.499979107099459696e+00,5.481128814466518229e+00
5.128000000000000114e+01,5.695127004699275130e+04,3.497626635398883632e+00,5.481114867945857227e+00
5.128999999999999915e+01,-2.432802095864853072e+03,3.499628665853514509e+00,5.481457629115820573e+00
5.140999999999999659e+01,6.777489267857128289e+04,3.472560828020561985e+00,5.481030757551260457e+00
5.152000000000000313e+01,1.409211916353415654e+04,3.486484188059221001e+00,5.482117287928256033e+00
5.164999999999999858e+01,2.539518205827051497e+04,3.459245376056124144e+00,5.482094604392233173e+00
5.203999999999999915e+01,1.546786141917341047e+04,3.400679419793358527e+00,5.481471145070472950e+00
5.227000000000000313e+01,2.274643474624066948e+04,3.393218087145642770e+00,5.481851738528159323e+00
5.239000000000000057e+01,8.568701249999943684e+03,3.406590457557683305e+00,5.482493545465083606e+00
5.227000000000000313e+01,1.890734024436081381e+04,3.399467825536653720e+00,5.482283799515196954e+00
5.217000000000000171e+01,3.827416460526299488e+04,3.421232590224478010e+00,5.482709731801869601e+00
5.209000000000000341e+01,5.201963811090217496e+04,3.412401699119589349e+00,5.482317379098718746e+00
5.224000000000000199e+01,5.191899507518821338e+04,3.406904373935757402e+00,5.482164233928888741e+00
5.225999999999999801e+01,3.278955031015026907e+04,3.413593780584473159e+00,5.482394330624954293e+00
5.211999999999999744e+01,2.671438189849658011e+04,3.416389266304658889e+00,5.482444218056582663e+00
5.239999999999999858e+01,5.972973231202987517e+04,3.408602667032404554e+00,5.482662321369420333e+00
5.217999999999999972e+01,2.715464898496281239e+04,3.417780992006099527e+00,5.482588192779764391e+00
5.235000000000000142e+01,7.065486028195498511e+04,3.410189858779355987e+00,5.482591973957029907e+00
5.199000000000000199e+01,1.759257510338370776e+04,3.414810266496170144e+00,5.482334610134509845e+00
5.182000000000000028e+01,3.149067617481237539e+04,3.421834265370932826e+00,5.481768081949791593e+00
5.171999999999999886e+01,2.039912379699225494e+04,3.455623479890570948e+00,5.482002701481064832e+00
5.153000000000000114e+01,3.271329812030579888e+03,3.454347617416016814e+00,5.481412164212471794e+00
5.215999999999999659e+01,4.012109365601535683e+04,3.441954665640248656e+00,5.481394538932767624e+00
5.256000000000000227e+01,3.390364531015009561e+04,3.444588241532240414e+00,5.482375762135933250e+00
5.165999999999999659e+01,1.104843724624095921e+04,3.458560232980627980e+00,5.481860837095124062e+00
5.171000000000000085e+01,1.712114193609022914e+04,3.481039918567920388e+00,5.482335276875964780e+00
5.172999999999999687e+01,2.495885692669126365e+04,3.452667927173080908e+00,5.481498104472818156e+00
5.207999999999999829e+01,3.598856988721800008e+04,3.448938012636830308e+00,5.482260600727626887e+00
5.228999999999999915e+01,8.489246221803692606e+03,3.407921376485776754e+00,5.481979362360712038e+00
5.214999999999999858e+01,4.568479342104746138e+03,3.418849817004345315e+00,5.482292025647187650e+00
5.217999999999999972e+01,3.825741129699214071e+04,3.408298500089478544e+00,5.482074736161103523e+00
5.225000000000000000e+01,3.709379548871515908e+03,3.427108224584690443e+00,5.482708728779992491e+00
5.225000000000000000e+01,1.965520299812057419e+04,3.410489045714884426e+00,5.482561387052530932e+00
5.247999999999999687e+01,2.911946712406000006e+04,3.401910112570652789e+00,5.482584399691687871e+00
5.235000000000000142e+01,2.135061315789416039e+04,3.398317079675227781e+00,5.482512274994966184e+00
5.203999999999999915e+01,-1.917785689849594200e+04,3.409862580649435593e+00,5.482355797669003827e+00
5.192999999999999972e+01,2.578531240601522222e+04,3.428912518541292975e+00,5.481730212795682178e+00
5.189999999999999858e+01,-9.650398308269186600e+02,3.450339016883704257e+00,5.482201506652312872e+00
5.225000000000000000e+01,4.077176258458570373e+04,3.442819373777194603e+00,5.482462090933243104e+00
5.200999999999999801e+01,1.935068698308315652e+04,3.431969038265190175e+00,5.482526802287686074e+00
5.256000000000000227e+01,3.826381697368455934e+04,3.411266291337124557e+00,5.482687224784085878e+00
5.271000000000000085e+01,1.478220764097773281e+04,3.370516604150751938e+00,5.482737464721219034e+00
5.234000000000000341e+01,-5.139323684212331500e+02,3.401027086098259211e+00,5.482971307109827386e+00
5.253000000000000114e+01,2.976939693608989546e+04,3.367612571421872314e+00,5.482471313082612596e+00
5.247999999999999687e+01,2.946167808270697788e+04,3.385617873825728541e+00,5.482689558621245851e+00
5.254999999999999716e+01,2.346621107142826077e+04,3.417912084591386623e+00,5.483502851792974475e+00
5.246999999999999886e+01,4.056838234962432762e+04,3.404811573805703873e+00,5.483446871408069079e+00
5.236999999999999744e+01,3.254293175751842500e+04,3.372878319917820278e+00,5.482712276567176524e+00
5.228999999999999915e+01,1.619687670112787964e+04,3.381542139032528649e+00,5.482396933288951502e+00
5.207000000000000028e+01,1.292185130639130330e+04,3.402515962830361396e+00,5.482303132221480801e+00
5.202000000000000313e+01,2.031326309210503314e+04,3.426827680020152034e+00,5.482372950965487490e+00
5.196000000000000085e+01,2.348234844924844947e+04,3.434619895329260153e+00,5.482397605636397664e+00
5.186999999999999744e+01,1.883983426691743807e+04,3.456563042628135296e+00,5.482614551204465059e+00
