Ts (degC),I (a.u.),P (W),q (slm)
5.592000000000000171e+01,3.418564290789477527e+05,2.351358794930610951e+00,2.800078868223674800e+00
5.565999999999999659e+01,3.427623395864661434e+05,2.141556530540545289e+00,3.341811600598206589e+00
5.617000000000000171e+01,2.621481302819548291e+05,1.833610120515837494e+00,4.265361114464495174e+00
5.293999999999999773e+01,2.156020197180454270e+05,1.635806161088517729e+00,5.499976895851595771e+00
4.921000000000000085e+01,1.535036652631580073e+05,1.928214218190833051e+00,5.499866016499831645e+00
4.727000000000000313e+01,2.354290673120302672e+05,2.401467214430769381e+00,5.361070387101039003e+00
4.899000000000000199e+01,3.324788879605265683e+05,2.910566146990984038e+00,3.727861363275282613e+00
5.100000000000000000e+01,3.876302860432330053e+05,2.960868811031458492e+00,2.942348213991718975e+00
5.328999999999999915e+01,3.192601581766915624e+05,2.474697264047936773e+00,4.043286562725533884e+00
5.553000000000000114e+01,3.299267185432324768e+05,2.196422242354181265e+00,4.444980635788148504e+00
5.413000000000000256e+01,3.096947582706778194e+05,2.235959890026215646e+00,4.172345097827037996e+00
5.270000000000000284e+01,2.863424943327067303e+05,2.293677329713916357e+00,4.050587752379740891e+00
5.209000000000000341e+01,3.344069966447375482e+05,2.373959422472665892e+00,3.870657976476993944e+00
5.225999999999999801e+01,3.519206094642870012e+05,2.357005271895808107e+00,3.915927979740426501e+00
5.277000000000000313e+01,3.613527220206780476e+05,2.377580106546538730e+00,3.697041277919364433e+00
5.297999999999999687e+01,3.437549731015029247e+05,2.333321590624438890e+00,3.723029656887120176e+00
5.318999999999999773e+01,3.093434315413546865e+05,2.257666679144759048e+00,3.877160467656842080e+00
5.307999999999999829e+01,3.176916296898506698e+05,2.134467072545656485e+00,4.354471995335535972e+00
5.207000000000000028e+01,2.775779271992479917e+05,2.221569848029992134e+00,4.334697320912992424e+00
5.129999999999999716e+01,3.108918806954905740e+05,2.326898306600589716e+00,4.204347570297743530e+00
5.132000000000000028e+01,3.514606326033840887e+05,2.474797691199767335e+00,3.749697405482018908e+00
5.192999999999999972e+01,3.271015687499995693e+05,2.438009140893451665e+00,3.737629082655196555e+00
5.299000000000000199e+01,3.525176924436093541e+05,2.270958884167155301e+00,4.141923265620192751e+00
5.321000000000000085e+01,3.031684823966170079e+05,2.250492109563703380e+00,4.130295405067013093e+00
5.221000000000000085e+01,3.073239187781953369e+05,2.278629058977454047e+00,4.159706737526979836e+00
5.172999999999999687e+01,3.369586733176691923e+05,2.276776165025495402e+00,4.318037407502274938e+00
5.142000000000000171e+01,2.701233209492478054e+05,2.381845189301797117e+00,4.093944271706729587e+00
5.139000000000000057e+01,3.226844851127820439e+05,2.484827827276704149e+00,3.744287487007863735e+00
5.221000000000000085e+01,3.737945171334583429e+05,2.393333120437760808e+00,3.876363975750908075e+00
5.303000000000000114e+01,3.810691485056383535e+05,2.364385167312350600e+00,3.779470987984614894e+00
5.302000000000000313e+01,3.575499674154139939e+05,2.251683542214670819e+00,4.060463912284266286e+00
5.268999999999999773e+01,3.349737758458648459e+05,2.217618044443667280e+00,4.258298310570780565e+00
5.172999999999999687e+01,3.309702279135338031e+05,2.327302516510716845e+00,4.080636460687834699e+00
5.136999999999999744e+01,3.341980730357152061e+05,2.388412281081631061e+00,3.968698808258960042e+00
5.159000000000000341e+01,3.235259692951130564e+05,2.453369294154290614e+00,3.706238606809142855e+00
5.213000000000000256e+01,3.272662685526309069e+05,2.456475768467946796e+00,3.555670904565379153e+00
5.277000000000000313e+01,3.588063423496242031e+05,2.241784269438420019e+00,4.119502464208522063e+00
5.299000000000000199e+01,3.502429381015037652e+05,2.242446501435781503e+00,4.088844421948251373e+00
5.164999999999999858e+01,2.962168449530081707e+05,2.275558230817496419e+00,4.160854826416755081e+00
5.114000000000000057e+01,3.184562457518795272e+05,2.340078055538478363e+00,4.127779852457945431e+00
5.110000000000000142e+01,3.132778720770677319e+05,2.429435217151925563e+00,3.911683831401056022e+00
5.135000000000000142e+01,3.743845785056413151e+05,2.530263395144934702e+00,3.461605344785012139e+00
5.240999999999999659e+01,3.436506344830819289e+05,2.411384376706541488e+00,3.583385116887620292e+00
5.340999999999999659e+01,3.262212809492482920e+05,2.249672611419487822e+00,3.919762751617692498e+00
5.352000000000000313e+01,3.225760813533835462e+05,2.129923977271339197e+00,4.278519749737032640e+00
5.185000000000000142e+01,2.814076595582700102e+05,2.163733845791248278e+00,4.524412447015467187e+00
5.064999999999999858e+01,3.030148693421057542e+05,2.374410083066956112e+00,4.197675283297170878e+00
