Ts (degC),I (a.u.),P (W),q (slm)
4.282000000000000028e+01,4.392713732988733100e+05,2.618328112728280477e+00,1.500004440627945801e+00
4.514999999999999858e+01,3.095981803759396425e+05,2.650776161533456410e+00,1.500007073660519552e+00
5.253999999999999915e+01,1.792378554417297710e+05,1.573817081358561243e+00,3.808955245593859118e+00
5.096999999999999886e+01,1.246836635244362988e+05,1.500010423329804610e+00,3.932787828677605901e+00
4.546999999999999886e+01,8.910481057330855401e+04,1.531117101292521543e+00,3.797731818521017377e+00
4.350000000000000000e+01,9.956392556390921527e+04,1.952639557232948020e+00,2.962696915374057660e+00
4.409000000000000341e+01,2.155520061654141755e+05,2.480534123441171968e+00,1.890180449418662700e+00
4.875000000000000000e+01,2.682305666729334043e+05,1.865112503625870222e+00,3.151517370198904100e+00
5.147999999999999687e+01,1.842883619548873394e+05,1.500017446263756105e+00,3.902074359747321530e+00
4.714999999999999858e+01,1.239948069078947010e+05,1.500013617597255156e+00,3.931735395860924687e+00
4.384000000000000341e+01,9.950799907894767239e+04,1.503456885602638016e+00,3.910649613490774001e+00
4.213000000000000256e+01,1.498403573120310029e+05,1.929704187668950244e+00,3.043301206305844886e+00
4.318999999999999773e+01,1.945107132800750842e+05,2.666891516806537243e+00,1.500095109070266997e+00
4.882999999999999829e+01,2.978956249906019657e+05,1.899972516708384518e+00,3.097061233410760117e+00
5.240999999999999659e+01,2.168480470206764294e+05,1.500012148188104799e+00,3.929025893008651238e+00
4.802000000000000313e+01,1.428102503289474407e+05,1.500012576602833381e+00,3.908168515745966687e+00
4.360000000000000142e+01,9.763458501879649702e+04,1.666090292636582815e+00,3.537371880786084777e+00
4.272999999999999687e+01,1.477178609774425859e+05,2.250341619385507475e+00,2.367975686126456480e+00
4.522999999999999687e+01,2.534295115601502184e+05,2.662375800005440496e+00,1.500084899675600436e+00
5.104999999999999716e+01,2.657513234210530063e+05,1.500035121323422871e+00,3.946991531663247343e+00
5.074000000000000199e+01,1.311867804135341721e+05,1.500006633727453575e+00,3.956275876300551886e+00
4.506000000000000227e+01,1.404960764379695465e+05,1.576448067480310744e+00,3.680205381287606770e+00
4.275999999999999801e+01,1.292363750469927472e+05,2.007256663320968748e+00,2.860560660065387228e+00
4.414000000000000057e+01,2.138956459962409572e+05,2.563602648340738366e+00,1.724560362509876654e+00
4.890999999999999659e+01,3.208864609398507746e+05,1.951324365443082076e+00,2.976031212690533945e+00
5.261999999999999744e+01,2.201162971804515983e+05,1.500031824144611781e+00,3.868049611730500992e+00
4.742999999999999972e+01,1.036256173308267462e+05,1.500019192336115470e+00,3.900932970025801971e+00
4.340999999999999659e+01,1.176928529041357542e+05,1.782017436883121642e+00,3.299472681445867472e+00
4.306000000000000227e+01,1.860616257236845267e+05,2.347041086826296308e+00,2.164192753092970545e+00
4.696000000000000085e+01,2.783248044642856694e+05,2.364660341254438691e+00,2.111312311266487995e+00
5.160999999999999943e+01,2.779557389379701926e+05,1.500041959636944755e+00,3.903247663266769418e+00
4.972999999999999687e+01,1.114925274248118367e+05,1.500006843762196507e+00,3.936116715123572973e+00
4.404999999999999716e+01,1.013278271898496605e+05,1.500935962977050231e+00,3.895218610018978289e+00
4.185000000000000142e+01,1.063653991635342827e+05,2.078176970015648273e+00,2.721343881481161020e+00
4.407999999999999829e+01,2.609362255263154220e+05,2.643581945846844139e+00,1.500021478380835660e+00
4.928000000000000114e+01,2.759125744454885717e+05,1.998610065288584758e+00,2.886464077638343451e+00
5.317999999999999972e+01,2.131442108458646690e+05,1.500025199921070085e+00,3.863997987461803341e+00
4.834000000000000341e+01,8.136207205827036523e+04,1.500015046303138311e+00,3.899934564992507013e+00
4.371000000000000085e+01,1.246468308834587806e+05,1.613886075424022293e+00,3.655718374529929537e+00
4.250999999999999801e+01,1.497325694830830616e+05,1.933663361453637375e+00,3.039721578698148186e+00
4.385999999999999943e+01,2.088290021052638767e+05,2.663613864721300573e+00,1.500946295367030725e+00
4.839999999999999858e+01,2.668604909774436965e+05,2.099124383390224224e+00,2.668531296988652546e+00
5.317999999999999972e+01,2.396442489473682945e+05,1.500012601538595725e+00,3.915600178931196496e+00
4.892000000000000171e+01,1.099365639191728842e+05,1.500006892664698999e+00,3.919697178961491613e+00
4.439000000000000057e+01,1.034417004981196951e+05,1.593145152008153875e+00,3.668218410999190660e+00
4.261999999999999744e+01,1.391280949060157582e+05,1.990857797812076946e+00,2.897125181300193031e+00
4.457999999999999829e+01,2.080326040319549502e+05,2.653014250305166577e+00,1.500086461314091846e+00
4.924000000000000199e+01,2.966908650281965965e+05,1.977046292908977154e+00,2.915085612321578257e+00
5.332999999999999829e+01,2.341747865413536201e+05,1.500010777415418994e+00,3.923680595921442915e+00
4.835999999999999943e+01,1.274244308458649029e+05,1.500010471735768292e+00,3.914600080615303401e+00
4.438000000000000256e+01,1.321576099906018644e+05,1.626246006554819656e+00,3.597156462176738678e+00
4.300999999999999801e+01,1.530815065319552086e+05,2.060197511482278809e+00,2.754863329641002778e+00
4.528000000000000114e+01,2.386372026597745426e+05,2.650055265803952675e+00,1.500094074033326841e+00
4.978000000000000114e+01,2.833122396992480499e+05,1.659227480289553025e+00,3.586864233336444219e+00
5.190999999999999659e+01,1.670986053665419749e+05,1.500087337322433712e+00,3.822019093276305846e+00
4.577000000000000313e+01,1.165119910432331235e+05,1.578076418655415925e+00,3.695781282661482425e+00
4.335999999999999943e+01,1.237085224342104775e+05,1.924390722252071750e+00,3.026407584951988472e+00
4.439999999999999858e+01,2.319697555263158865e+05,2.650639980761162473e+00,1.516423167261898186e+00
4.890999999999999659e+01,2.912247286466165679e+05,2.204588170073040754e+00,2.432398865346834693e+00
5.318999999999999773e+01,2.523040834398501611e+05,1.500012198381190487e+00,3.931174414845062692e+00
4.982999999999999829e+01,1.032756456484957889e+05,1.500006187755805520e+00,3.964508427233581322e+00
4.374000000000000199e+01,8.528493310150426987e+04,1.533320543868080588e+00,3.800842828303944820e+00
4.189999999999999858e+01,1.385110557800745883e+05,2.065672795302250897e+00,2.746051964613913654e+00
4.349000000000000199e+01,2.630556422086467501e+05,2.651734443379836659e+00,1.500021911703429023e+00
4.853000000000000114e+01,2.876129124812030350e+05,2.208575306849318132e+00,2.448788346766992419e+00
5.340999999999999659e+01,2.662837337030076305e+05,1.500015094431883522e+00,3.905773727422028774e+00
4.977000000000000313e+01,1.047841825093986845e+05,1.500006893740045921e+00,3.931860961724449322e+00
4.434000000000000341e+01,1.036183493515033770e+05,1.500031365858922605e+00,3.903488456174146748e+00
4.136999999999999744e+01,8.666646510338390362e+04,1.973049049649596487e+00,2.944194285133475475e+00
4.257999999999999829e+01,2.211994724718040379e+05,2.666860560752016607e+00,1.500055906550814111e+00
4.881000000000000227e+01,2.721014431860906188e+05,2.085706365697809872e+00,2.705049530232635391e+00
5.246000000000000085e+01,2.290108256390969327e+05,1.500028961675713424e+00,3.879696575680336768e+00
4.853999999999999915e+01,1.347048519642858300e+05,1.500015307544715348e+00,3.896769889901108286e+00
4.370000000000000284e+01,1.245608469924812962e+05,1.704667018792539679e+00,3.452351232208872744e+00
4.253000000000000114e+01,1.590907703853383719e+05,2.296283511130353006e+00,2.273854679506318810e+00
4.611999999999999744e+01,2.871179507706777658e+05,2.533247240301144121e+00,1.768663545211675459e+00
5.096000000000000085e+01,2.416086975281953637e+05,1.513089125555307390e+00,3.882897634766040440e+00
5.143999999999999773e+01,1.152984848684214812e+05,1.500006102440055056e+00,3.971527088831095398e+00
4.461999999999999744e+01,1.214810715507517598e+05,1.500175636719072614e+00,3.860163009611413898e+00
4.172999999999999687e+01,1.121078419454886025e+05,2.086385071572626426e+00,2.693567205128897690e+00
4.360000000000000142e+01,2.516370307612789038e+05,2.643335719403471895e+00,1.500019961777137478e+00
4.963000000000000256e+01,2.351987093233078776e+05,1.806908724362186636e+00,3.295129117120344731e+00
5.195000000000000284e+01,1.769385870676690247e+05,1.500013524675525067e+00,3.908233089197045373e+00
4.653999999999999915e+01,1.044845939379697520e+05,1.500024956855660285e+00,3.883143873049621497e+00
4.261999999999999744e+01,1.299790639849627914e+05,1.844435375094194196e+00,3.185116600354485961e+00
4.267000000000000171e+01,1.923452250000001222e+05,2.365176444998896343e+00,2.155770835469954072e+00
4.706000000000000227e+01,2.463142829887215048e+05,2.355322058456434942e+00,2.141003534235158767e+00
5.160999999999999943e+01,2.336479196334580483e+05,1.578983403277471220e+00,3.706011972790994591e+00
5.075999999999999801e+01,1.527473026691727282e+05,1.500006890266644799e+00,3.939595386453230041e+00
