Ts (degC),I (a.u.),P (W),q (slm)
3.310999999999999943e+01,3.378526347744399391e+04,2.337373894044092903e+00,2.834198633677250889e+00
3.285999999999999943e+01,1.949612048120300751e+05,2.342647522770362478e+00,3.488648628001894458e+00
4.268999999999999773e+01,3.125006910338352900e+05,2.368814017623655399e+00,3.807194154126822383e+00
4.545000000000000284e+01,3.409470693609048612e+05,2.391622946787947512e+00,3.985911681248062166e+00
4.635000000000000142e+01,3.654383118890981423e+05,2.495710130877833333e+00,3.837636892193264870e+00
4.735000000000000142e+01,3.576635449906019494e+05,2.683013609072194772e+00,3.378557286032799034e+00
4.878999999999999915e+01,3.382075339003764675e+05,2.632253509945720271e+00,3.408698662742775554e+00
4.992999999999999972e+01,4.089634067763165222e+05,2.468724570797307560e+00,3.810311227442259252e+00
5.059000000000000341e+01,3.499551753947372199e+05,2.427244187327216363e+00,3.814646461641954645e+00
5.056000000000000227e+01,3.708474131109031732e+05,2.438821522449218904e+00,3.695082766260481044e+00
5.022999999999999687e+01,3.567980395206768299e+05,2.412047962740730966e+00,3.780472779549501006e+00
5.039000000000000057e+01,3.214810801973682828e+05,2.496621353022751233e+00,3.455726996807050533e+00
5.057000000000000028e+01,3.826317640601525782e+05,2.426767587032526041e+00,3.627993761635464498e+00
5.118999999999999773e+01,3.543303757612790214e+05,2.369188340813605631e+00,3.737081438162134894e+00
5.129999999999999716e+01,3.258783308740601642e+05,2.350155941225669842e+00,3.775514644895419103e+00
5.104999999999999716e+01,3.278395766165421810e+05,2.313417106075406959e+00,3.926960501281771876e+00
5.082000000000000028e+01,3.013086188063918962e+05,2.327121798647760809e+00,3.988810859311948676e+00
5.071999999999999886e+01,3.028585461936086649e+05,2.358370956669663787e+00,4.006662039590803914e+00
5.067999999999999972e+01,3.214633414003771031e+05,2.415182510895420354e+00,3.872273091309265780e+00
5.082999999999999829e+01,3.668260031954880105e+05,2.524992296956872107e+00,3.442528576996870093e+00
5.135999999999999943e+01,3.451814680263166665e+05,2.400560970747033895e+00,3.729888130917769384e+00
5.232999999999999829e+01,3.381327599436078453e+05,2.313243804341894361e+00,3.865542934491899452e+00
5.210999999999999943e+01,3.498704233646620996e+05,2.294493324019129865e+00,3.898585181298450664e+00
5.163000000000000256e+01,2.843221192669170559e+05,2.290379469260769518e+00,3.979758500888827211e+00
5.132000000000000028e+01,3.255426487781962496e+05,2.295647231684043277e+00,4.103586744759797789e+00
5.096000000000000085e+01,3.309744162406030810e+05,2.396152494843735159e+00,3.905308924920444902e+00
5.096999999999999886e+01,3.163811760620312998e+05,2.450009657084452730e+00,3.719513192302753346e+00
5.147999999999999687e+01,3.630695665601519286e+05,2.461568621148582547e+00,3.541641914952090797e+00
5.224000000000000199e+01,3.338527824248120305e+05,2.265076468518875785e+00,4.101037522532266166e+00
5.246000000000000085e+01,3.013830232048882754e+05,2.317857243713017823e+00,3.867548477739264801e+00
5.170000000000000284e+01,3.046762801409783424e+05,2.390084247703395892e+00,3.643273291685123816e+00
5.164000000000000057e+01,3.748815111936092144e+05,2.329391529231444657e+00,3.835882283702848561e+00
5.177000000000000313e+01,3.209529814285701141e+05,2.348995118492373635e+00,3.776695550793843559e+00
5.182999999999999829e+01,3.076237537218058133e+05,2.344417958115659673e+00,3.779046527426757063e+00
5.189000000000000057e+01,3.232197286748125334e+05,2.204008074011140739e+00,4.318243268531470669e+00
5.167999999999999972e+01,2.996702438063918380e+05,2.205160799569461538e+00,4.538338839920606382e+00
5.082999999999999829e+01,2.987316889849628205e+05,2.347928833541099269e+00,4.321731457724165892e+00
5.042000000000000171e+01,3.168034579793247394e+05,2.590620943480658411e+00,3.602549188303046712e+00
5.103000000000000114e+01,3.814277432142866310e+05,2.582335083291814826e+00,3.415666992300795179e+00
5.271999999999999886e+01,3.255553369454886415e+05,2.377489995917858145e+00,3.812307546027000171e+00
5.359000000000000341e+01,3.338939265789466444e+05,2.305563676670510986e+00,3.744120100109364024e+00
5.304999999999999716e+01,3.195513700939844712e+05,2.195871001808272993e+00,4.088445018275870702e+00
5.200999999999999801e+01,2.838005493609023979e+05,2.253134625038283989e+00,4.060009344208902249e+00
5.135999999999999943e+01,2.593789069736840029e+05,2.287357130968869168e+00,4.154362603271104959e+00
5.118999999999999773e+01,2.863150238345865509e+05,2.379668050841510674e+00,3.966998380099336696e+00
5.121000000000000085e+01,3.420468747744374559e+05,2.428408180019551832e+00,3.803832674611088649e+00
5.156000000000000227e+01,3.438940501973683713e+05,2.424755833289769846e+00,3.721246866100750950e+00
5.257000000000000028e+01,3.348974004699249635e+05,2.404076371014909785e+00,3.597074733178004635e+00
