t_emb (ms),Isemb (a.u.),Vp2p (V),f (kHz),q (slm),x_pos (mm),y_pos (mm),dsep (mm),T_emb (K),P_emb (W),Pset (W),duty (%),V_emb (kV),I_emb (mA)
1.878900000000000000e+04,0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.549999999999999822e+00,3.160000000000000142e+00,1.000010999999999939e+02,1.669999999999999929e+00,1.219999999999999973e+00
4.062200000000000000e+04,0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.540000000000000036e+00,7.549999999999999822e+00,1.000013000000000005e+02,1.689999999999999947e+00,1.199999999999999956e+00
4.171100000000000000e+04,0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.509999999999999787e+00,2.600000000000000089e+00,1.000011999999999972e+02,1.689999999999999947e+00,1.179999999999999938e+00
4.273700000000000000e+04,0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.479999999999999982e+00,2.520000000000000018e+00,1.000011999999999972e+02,1.699999999999999956e+00,1.159999999999999920e+00
4.372600000000000000e+04,0.000000000000000000e+00,9.730000000000000426e+00,2.000000000000000000e+01,1.629999999999999893e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.479999999999999982e+00,2.390000000000000124e+00,1.000011999999999972e+02,1.679999999999999938e+00,1.179999999999999938e+00
4.471900000000000000e+04,0.000000000000000000e+00,6.530000000000000249e+00,2.000000000000000000e+01,2.729999999999999982e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.870000000000000107e+00,1.850000000000000089e+00,1.000011999999999972e+02,1.300000000000000044e+00,1.129999999999999893e+00
4.573100000000000000e+04,0.000000000000000000e+00,6.040000000000000036e+00,2.000000000000000000e+01,2.799999999999999822e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.729999999999999982e+00,1.770000000000000018e+00,1.000011999999999972e+02,1.199999999999999956e+00,1.120000000000000107e+00
4.676900000000000000e+04,0.000000000000000000e+00,7.349999999999999645e+00,2.000000000000000000e+01,1.959999999999999964e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.129999999999999893e+00,2.160000000000000142e+00,1.000011999999999972e+02,1.449999999999999956e+00,1.159999999999999920e+00
4.773600000000000000e+04,0.000000000000000000e+00,8.630000000000000782e+00,2.000000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.350000000000000089e+00,2.390000000000000124e+00,1.000011999999999972e+02,1.600000000000000089e+00,1.159999999999999920e+00
4.872700000000000000e+04,0.000000000000000000e+00,8.369999999999999218e+00,2.000000000000000000e+01,1.780000000000000027e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.350000000000000089e+00,2.279999999999999805e+00,1.000010999999999939e+02,1.570000000000000062e+00,1.189999999999999947e+00
4.974000000000000000e+04,0.000000000000000000e+00,7.059999999999999609e+00,2.000000000000000000e+01,2.259999999999999787e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.029999999999999805e+00,2.040000000000000036e+00,1.000010999999999939e+02,1.399999999999999911e+00,1.149999999999999911e+00
5.073100000000000000e+04,0.000000000000000000e+00,6.830000000000000071e+00,2.000000000000000000e+01,2.330000000000000071e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.979999999999999982e+00,2.000000000000000000e+00,1.000011999999999972e+02,1.360000000000000098e+00,1.149999999999999911e+00
5.176700000000000000e+04,0.000000000000000000e+00,7.480000000000000426e+00,2.000000000000000000e+01,1.909999999999999920e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.169999999999999929e+00,2.189999999999999947e+00,1.000011999999999972e+02,1.479999999999999982e+00,1.159999999999999920e+00
5.273400000000000000e+04,0.000000000000000000e+00,8.269999999999999574e+00,2.000000000000000000e+01,1.629999999999999893e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.290000000000000036e+00,2.330000000000000071e+00,1.000011999999999972e+02,1.560000000000000053e+00,1.159999999999999920e+00
5.372600000000000000e+04,0.000000000000000000e+00,7.820000000000000284e+00,2.000000000000000000e+01,1.899999999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.259999999999999787e+00,2.209999999999999964e+00,1.000010999999999939e+02,1.520000000000000018e+00,1.179999999999999938e+00
5.471600000000000000e+04,0.000000000000000000e+00,7.099999999999999645e+00,2.000000000000000000e+01,2.229999999999999982e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.049999999999999822e+00,2.060000000000000053e+00,1.000011999999999972e+02,1.409999999999999920e+00,1.149999999999999911e+00
5.572800000000000000e+04,0.000000000000000000e+00,7.150000000000000355e+00,2.000000000000000000e+01,2.149999999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.089999999999999858e+00,2.089999999999999858e+00,1.000013000000000005e+02,1.409999999999999920e+00,1.169999999999999929e+00
5.674200000000000000e+04,0.000000000000000000e+00,7.469999999999999751e+00,2.000000000000000000e+01,1.959999999999999964e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.180000000000000160e+00,2.180000000000000160e+00,1.000011999999999972e+02,1.479999999999999982e+00,1.169999999999999929e+00
5.773400000000000000e+04,0.000000000000000000e+00,7.639999999999999680e+00,2.000000000000000000e+01,1.909999999999999920e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.200000000000000178e+00,2.209999999999999964e+00,1.000011999999999972e+02,1.489999999999999991e+00,1.169999999999999929e+00
5.874600000000000000e+04,0.000000000000000000e+00,7.480000000000000426e+00,2.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.189999999999999947e+00,2.169999999999999929e+00,1.000011999999999972e+02,1.469999999999999973e+00,1.179999999999999938e+00
