Ts (degC),I (a.u.),P (W),q (slm)
3.260000000000000142e+01,-1.634753328947435875e+04,2.337166261407571888e+00,2.835762034603888981e+00
3.261999999999999744e+01,4.412796761278214399e+04,2.228200290874923883e+00,3.915391217741674978e+00
4.200999999999999801e+01,5.951415665413570241e+04,1.942155523095532299e+00,5.494560942825641447e+00
4.193999999999999773e+01,-1.352706456766896736e+03,2.190331666548412937e+00,5.484975796564932615e+00
4.152000000000000313e+01,4.161768146616517333e+04,2.697519256290945577e+00,5.480011063447351560e+00
4.385000000000000142e+01,3.862031751879670628e+04,3.030589733640279171e+00,5.477548825112639186e+00
4.571999999999999886e+01,3.992609007518775616e+04,3.244904832368811221e+00,5.476859057931759089e+00
4.618999999999999773e+01,3.200510128759429426e+04,3.407229722354369272e+00,5.476552412406091364e+00
4.652000000000000313e+01,5.373192476503748912e+04,3.499998138878421372e+00,5.476612226805801953e+00
4.678999999999999915e+01,-1.249476513157587533e+03,3.499999280371843824e+00,5.476742612802975252e+00
4.710000000000000142e+01,4.112998773496264039e+04,3.499999331974982919e+00,5.477072503191099173e+00
4.717000000000000171e+01,2.098290267857160507e+04,3.499999329884205590e+00,5.476676305214081886e+00
4.735999999999999943e+01,1.472369424811969475e+04,3.499999336061558441e+00,5.476410393686834688e+00
4.764999999999999858e+01,3.092993309210527514e+04,3.499999334984385424e+00,5.476386389908643793e+00
4.784000000000000341e+01,5.225664814849592949e+04,3.499999343499932358e+00,5.477071603218019114e+00
4.810999999999999943e+01,6.151937983082741266e+04,3.499999309408567960e+00,5.477298276825949941e+00
4.817000000000000171e+01,2.544359419172989874e+04,3.499999299348482307e+00,5.477824107382972763e+00
4.838000000000000256e+01,6.257607011278174468e+04,3.499999257128143082e+00,5.478200470346907380e+00
4.857000000000000028e+01,-1.223237875940143113e+03,3.499999203839200490e+00,5.478424728702855795e+00
4.885000000000000142e+01,1.233696375000023181e+04,3.499999087001411713e+00,5.478552759429341279e+00
4.911999999999999744e+01,5.549705825188020390e+04,3.499999009405367012e+00,5.478969492728941404e+00
4.936999999999999744e+01,1.977629492481375109e+03,3.499999054705736690e+00,5.479413267526708431e+00
4.904999999999999716e+01,3.294796762218039657e+04,3.499999069541283259e+00,5.479606362172739331e+00
4.903999999999999915e+01,5.295412779135326127e+04,3.499999091920331207e+00,5.479587302913761171e+00
4.917999999999999972e+01,2.959213215225539534e+04,3.499999001031141699e+00,5.479828281390464184e+00
4.911999999999999744e+01,4.144669917293212347e+04,3.499998739661394076e+00,5.479633774427409065e+00
4.936999999999999744e+01,3.000468236842078113e+04,3.499998837121224504e+00,5.480277754453443784e+00
4.974000000000000199e+01,6.507625500000001193e+04,3.499997708041503675e+00,5.480380596329313292e+00
4.945000000000000284e+01,4.635640398496246780e+04,3.499993382830084876e+00,5.480322913596409329e+00
4.984000000000000341e+01,2.650003810150389472e+04,3.491632751305655091e+00,5.480608224068848955e+00
4.975000000000000000e+01,5.549792055451119813e+04,3.485300616902945681e+00,5.480406036113594226e+00
4.964000000000000057e+01,3.828007753759349725e+03,3.494460850954336451e+00,5.480243508895300764e+00
4.975999999999999801e+01,2.235470297932297035e+04,3.499993501152128594e+00,5.480134435807414661e+00
5.002000000000000313e+01,2.626093390037619247e+04,3.499996604343035944e+00,5.480746535995764113e+00
5.011999999999999744e+01,1.564241610902238608e+04,3.487932331746944392e+00,5.480327665372398904e+00
5.024000000000000199e+01,4.859666622180544073e+04,3.499960802235382751e+00,5.481092451513463359e+00
5.028999999999999915e+01,4.580231295112813677e+04,3.499921500528370366e+00,5.481450444443188630e+00
5.004999999999999716e+01,5.026842465225504566e+04,3.499304806914299792e+00,5.481212260780272238e+00
4.989000000000000057e+01,5.577077774436082109e+04,3.499993384805999419e+00,5.481267104622180142e+00
5.032000000000000028e+01,3.517332434210549400e+04,3.488687695839951086e+00,5.481506963245695196e+00
5.024000000000000199e+01,3.941412868421102758e+04,3.468363369828953324e+00,5.481535309598880801e+00
5.054999999999999716e+01,4.691850211466160545e+04,3.446236127973191010e+00,5.481525231846592128e+00
5.032000000000000028e+01,4.809382060150415782e+04,3.452290561990047468e+00,5.481493599735962619e+00
5.042999999999999972e+01,1.599288053571402270e+04,3.456593512918901823e+00,5.481595504914987593e+00
5.067000000000000171e+01,4.778499307330855663e+04,3.439841574320498196e+00,5.481673005907357954e+00
5.036999999999999744e+01,5.266661145676735759e+04,3.454768844461463484e+00,5.481809196768998582e+00
5.060000000000000142e+01,3.310502988721802831e+04,3.451153138833888523e+00,5.481862856968609421e+00
5.075999999999999801e+01,2.643930735902274682e+04,3.443429852172680494e+00,5.481942074069928950e+00
5.052000000000000313e+01,1.054497569548819592e+04,3.447757234498086909e+00,5.481653534634084224e+00
5.011999999999999744e+01,1.555741770676744272e+04,3.461158901030172430e+00,5.481139392246653586e+00
5.014000000000000057e+01,4.755537420112771360e+04,3.497300709593534673e+00,5.481620592351336363e+00
5.052000000000000313e+01,3.191529862781958218e+04,3.472150926739942634e+00,5.481227405664365726e+00
5.081000000000000227e+01,1.182266182330790434e+04,3.469875385622597008e+00,5.481664491718043486e+00
5.054999999999999716e+01,4.900120934210511041e+04,3.457377861436423672e+00,5.481502081323176512e+00
5.072999999999999687e+01,3.565510514097680425e+04,3.463659762023057809e+00,5.481906366564354371e+00
5.082000000000000028e+01,6.557097033834538888e+04,3.454211905565520269e+00,5.481864642541587784e+00
5.092999999999999972e+01,5.243588390977478412e+04,3.446884475316336349e+00,5.482140338935743706e+00
5.043999999999999773e+01,3.812473987781970209e+04,3.453627266616555502e+00,5.481974948304848994e+00
5.095000000000000284e+01,2.718606143797004916e+04,3.418160896440656238e+00,5.481561966007957309e+00
5.114999999999999858e+01,4.227611111842075479e+04,3.442456166097138670e+00,5.482480807370814446e+00
5.136999999999999744e+01,5.691061863721821283e+04,3.408479087126532914e+00,5.482425805486757397e+00
5.150000000000000000e+01,4.676205578007455915e+04,3.393459017943051936e+00,5.482480545241977588e+00
5.172999999999999687e+01,5.364631043233076343e+04,3.388192831111841219e+00,5.482891905128494336e+00
5.150000000000000000e+01,4.159390655075180257e+04,3.381093923764508347e+00,5.482671927802181600e+00
5.209000000000000341e+01,6.553783328007551609e+04,3.378077412490394060e+00,5.483435184093970349e+00
5.206000000000000227e+01,4.232440006578891189e+04,3.368510212903529588e+00,5.483571857695888951e+00
5.218999999999999773e+01,1.550617229323325591e+04,3.344652297568250887e+00,5.483471772304481462e+00
5.195000000000000284e+01,5.548560194548864092e+04,3.362739596724828139e+00,5.483755917715249062e+00
5.207000000000000028e+01,1.847175422932364381e+04,3.338288587414963704e+00,5.482866278432596552e+00
5.199000000000000199e+01,3.433861539473661833e+04,3.387150220364123498e+00,5.483752893229214109e+00
5.175000000000000000e+01,3.139064906954913749e+04,3.386472603637068257e+00,5.483470505574996601e+00
5.228000000000000114e+01,4.113700934210517880e+04,3.356453160238952016e+00,5.483472450222102168e+00
5.225999999999999801e+01,7.396782699248107383e+04,3.342272211638467549e+00,5.483504305287727476e+00
5.193999999999999773e+01,1.195410138157926303e+04,3.373404833823715698e+00,5.483845339217610082e+00
5.184000000000000341e+01,3.286395470864642266e+04,3.360612346464166844e+00,5.483276904261915163e+00
5.236999999999999744e+01,4.822291962406036328e+04,3.359686543529366354e+00,5.484167643106783174e+00
5.275000000000000000e+01,7.025425911654128868e+04,3.315530189429609642e+00,5.484168913640270482e+00
5.179999999999999716e+01,-4.285520892856682622e+03,3.336281096376654709e+00,5.483580697924839598e+00
5.188000000000000256e+01,5.197270421052654274e+04,3.357655539136084499e+00,5.483616878452468590e+00
5.181000000000000227e+01,2.032890772556384036e+04,3.387045398562941845e+00,5.484074781528284426e+00
5.213000000000000256e+01,3.003597163533800631e+04,3.364584028533299964e+00,5.484262583087381238e+00
5.229999999999999716e+01,3.088878893797003911e+04,3.336320051607284842e+00,5.484254693531060987e+00
5.189000000000000057e+01,1.487311897556344775e+04,3.337477237657693774e+00,5.484041165738857693e+00
5.236999999999999744e+01,4.277920311090230098e+04,3.330738896547646988e+00,5.484420284307248927e+00
5.253999999999999915e+01,3.679975029135327350e+04,3.287165909284230025e+00,5.483978948866597314e+00
5.267000000000000171e+01,5.754478062969934399e+04,3.286859709938455776e+00,5.484331963889284012e+00
5.260000000000000142e+01,3.943999776315799681e+04,3.303785646674834986e+00,5.484844859506748271e+00
5.249000000000000199e+01,4.441314341165448423e+04,3.300628475114848026e+00,5.484414399238613846e+00
5.178999999999999915e+01,5.056764366541431082e+04,3.318218321142937466e+00,5.483330204674502717e+00
5.199000000000000199e+01,5.488334515037598612e+04,3.366807202929444909e+00,5.484152803345071270e+00
5.189000000000000057e+01,3.154832726503746744e+04,3.368800920277178701e+00,5.483843868368168728e+00
5.164000000000000057e+01,1.944960541353380177e+04,3.381732445604971993e+00,5.483566196238053081e+00
5.228000000000000114e+01,7.235335009398478724e+04,3.342701442189290884e+00,5.483238378011508374e+00
5.235000000000000142e+01,7.446069453947331931e+04,3.336279548677974827e+00,5.483660561466172645e+00
5.245000000000000284e+01,1.171154796992448428e+04,3.330705909592443170e+00,5.483891050999005756e+00
5.214000000000000057e+01,4.443309955827091471e+04,3.338255610126524608e+00,5.483944651817839855e+00
5.195000000000000284e+01,4.117125507518799168e+03,3.368462727406192680e+00,5.484020670985631618e+00
5.168999999999999773e+01,5.053093421052636404e+04,3.379286606128078407e+00,5.483520994940442428e+00
5.142999999999999972e+01,2.807041437969914841e+04,3.413477550529345983e+00,5.483741094642011760e+00
5.171000000000000085e+01,5.116694399436037202e+04,3.387318739587384275e+00,5.483357831701314744e+00
5.197999999999999687e+01,1.965902176691799832e+04,3.360659079089934220e+00,5.483159373734721065e+00
5.177000000000000313e+01,1.201865089285724753e+04,3.370865990514956501e+00,5.483229242543885107e+00
5.171999999999999886e+01,1.838059652255992887e+03,3.388401412551312220e+00,5.483363275950454252e+00
5.175000000000000000e+01,3.039124031954894235e+04,3.391878886787427660e+00,5.483855117044911687e+00
5.178999999999999915e+01,6.398963049812000099e+04,3.380432005354881309e+00,5.483811550914280630e+00
5.220000000000000284e+01,5.946845461466159031e+04,3.350881391845743629e+00,5.484049046695928631e+00
5.190999999999999659e+01,4.213333843984924897e+04,3.325169910996550016e+00,5.483326473218387065e+00
5.175000000000000000e+01,5.235310285714267957e+04,3.341289746985302234e+00,5.483297056677070458e+00
5.177000000000000313e+01,5.801744565789489570e+04,3.344465609294869246e+00,5.483077643437265003e+00
5.207000000000000028e+01,6.128138430451085878e+04,3.350544976496821370e+00,5.483132608364284621e+00
5.225000000000000000e+01,4.516125253759422048e+04,3.350913219661078468e+00,5.483569930891160737e+00
5.217000000000000171e+01,5.763150363721785834e+04,3.347031258729325387e+00,5.483432003446963243e+00
5.246000000000000085e+01,5.260427929511348339e+04,3.335616711896469688e+00,5.483427946189915581e+00
5.245000000000000284e+01,4.362056410714259255e+04,3.349085031623375563e+00,5.483778573123605504e+00
5.242999999999999972e+01,5.132794821428539581e+04,3.354674383663552195e+00,5.484161674195562775e+00
5.225999999999999801e+01,2.969930405075205272e+04,3.377474423589086783e+00,5.484576490355255629e+00
5.195000000000000284e+01,3.055901977443648138e+04,3.356096977594183350e+00,5.483892530538821752e+00
5.204999999999999716e+01,4.157370403195527615e+04,3.355423864998274830e+00,5.483869676940787308e+00
5.234000000000000341e+01,1.824509182331318243e+03,3.337211421495326569e+00,5.483817732746819829e+00
5.235999999999999943e+01,3.902461426691778615e+04,3.329549664386573848e+00,5.483940396465602163e+00
5.256000000000000227e+01,1.389711558270711430e+04,3.328868650409785523e+00,5.483975835855861014e+00
5.292999999999999972e+01,2.097083044172954760e+04,3.315472171177435534e+00,5.484659390060249606e+00
5.297999999999999687e+01,5.336667800751842151e+04,3.285116814659584605e+00,5.484435051902954328e+00
5.263000000000000256e+01,2.072827703007580931e+04,3.315641405092647709e+00,5.485126991985430855e+00
5.235999999999999943e+01,2.200682546052624821e+04,3.302388241881586417e+00,5.484388617214360551e+00
5.275999999999999801e+01,3.322562906954892969e+04,3.294851676960759868e+00,5.484399525549615184e+00
5.300999999999999801e+01,4.315676847744381666e+04,3.290499162069166150e+00,5.484504459550310074e+00
5.249000000000000199e+01,4.134273011278243212e+04,3.322298716419826992e+00,5.484425826328695130e+00
5.234000000000000341e+01,1.889871721804499975e+04,3.346808996565718175e+00,5.484661239963314117e+00
5.220000000000000284e+01,6.052970278195515857e+04,3.338261065374773739e+00,5.484070642174746268e+00
5.207000000000000028e+01,4.601899728383492038e+04,3.340291444858089598e+00,5.483402423309200024e+00
5.250000000000000000e+01,4.428170385338299093e+04,3.358010727019071773e+00,5.484119360887222072e+00
5.252000000000000313e+01,3.743058625939859485e+04,3.336875758837813066e+00,5.484147332537872899e+00
5.225999999999999801e+01,4.645495285714277998e+04,3.347900208140292655e+00,5.484448836447294084e+00
5.239000000000000057e+01,4.641454781954968348e+04,3.332449089008303389e+00,5.484030987446455896e+00
5.239000000000000057e+01,4.138473656954907347e+04,3.334978164322497385e+00,5.484163761329543085e+00
5.278999999999999915e+01,1.867143888157892434e+04,3.325603615265481761e+00,5.484771638314166253e+00
5.293999999999999773e+01,6.054473148496669637e+03,3.282215863296072733e+00,5.484189949460965607e+00
5.290999999999999659e+01,4.612370546052687860e+04,3.298397134156992205e+00,5.484524054197835063e+00
5.314999999999999858e+01,5.587794964285718743e+04,3.280815327190178099e+00,5.484595051583545100e+00
5.303999999999999915e+01,4.895119578947349510e+04,3.294227547617564422e+00,5.485082001929769469e+00
5.290999999999999659e+01,6.403557890977486386e+04,3.281009128673553654e+00,5.484864327259806771e+00
5.260000000000000142e+01,4.604190989661618369e+04,3.310899623735443775e+00,5.484704093219922250e+00
5.263000000000000256e+01,7.935549383458663942e+04,3.308249031713967447e+00,5.484796398102330883e+00
5.257000000000000028e+01,3.730998707706756977e+04,3.323233066885145082e+00,5.484778967415862461e+00
5.234000000000000341e+01,5.829436798872182408e+04,3.308259249644592614e+00,5.483915583330477794e+00
5.217000000000000171e+01,3.549705738721797388e+04,3.334608429940498553e+00,5.483774613608616733e+00
5.228000000000000114e+01,3.684187993421023566e+04,3.337577752341731596e+00,5.483483301440588598e+00
5.235999999999999943e+01,4.648414796052623569e+04,3.371929380202977278e+00,5.484078823440139416e+00
5.263000000000000256e+01,3.229951604323261199e+04,3.333489005369587588e+00,5.483927708337089868e+00
5.282000000000000028e+01,6.161645046992457355e+04,3.335787210428760918e+00,5.484391962472676241e+00
5.315999999999999659e+01,6.845426396616523562e+04,3.302732366006654985e+00,5.484672193626339620e+00
5.325999999999999801e+01,2.078617449248123376e+04,3.281506055755786022e+00,5.484498189795731449e+00
5.282000000000000028e+01,5.250745502819553076e+04,3.302916253563987325e+00,5.484707488477024384e+00
5.285999999999999943e+01,4.920508232142884663e+04,3.293098601673794423e+00,5.484118004451025818e+00
5.271999999999999886e+01,1.593375121240599037e+04,3.322030108694309813e+00,5.484186521914102386e+00
5.263000000000000256e+01,4.983012854323300417e+04,3.329538507570311445e+00,5.483877582406041284e+00
5.245000000000000284e+01,2.140025715225534077e+04,3.360024060425180537e+00,5.484290387077003892e+00
5.202000000000000313e+01,5.541452357142831897e+04,3.389298774197474273e+00,5.484371063802041313e+00
5.193999999999999773e+01,4.929414586466191395e+04,3.380037127158013632e+00,5.483824623194935910e+00
5.182000000000000028e+01,4.174037481202973140e+04,3.386787272600868537e+00,5.483610118932396915e+00
5.221000000000000085e+01,4.121806578947275557e+04,3.354794819532852301e+00,5.483429353857831146e+00
5.210999999999999943e+01,5.038397320488717378e+04,3.368643259335526441e+00,5.483694693954671351e+00
5.202000000000000313e+01,4.482667911654105410e+04,3.371631515936946322e+00,5.483826215281508709e+00
5.207000000000000028e+01,3.042942800751841423e+04,3.360949590619346061e+00,5.483613216050427397e+00
5.238000000000000256e+01,3.609093752819497604e+04,3.346005448229097734e+00,5.483821647628666085e+00
5.228999999999999915e+01,6.507145074248166929e+04,3.338477523890021281e+00,5.483649956721724728e+00
5.270000000000000284e+01,5.760760553571479250e+04,3.320193605083854749e+00,5.483838091413479887e+00
5.263000000000000256e+01,2.008968033834618109e+04,3.319324634503589611e+00,5.483966409237726936e+00
5.231000000000000227e+01,2.100396749999918029e+04,3.342692755651031966e+00,5.483856430551034222e+00
5.200999999999999801e+01,2.374793765977445946e+04,3.368964495718952623e+00,5.483507998720018151e+00
5.172999999999999687e+01,3.021545376879699324e+04,3.412204549080325222e+00,5.484197335671801454e+00
5.197999999999999687e+01,4.961713979323286912e+04,3.384028440051181086e+00,5.484003198509923571e+00
5.225000000000000000e+01,3.033235736842135520e+04,3.357924298459460388e+00,5.484331400669108625e+00
5.239000000000000057e+01,4.764788695488691155e+04,3.329867005363373877e+00,5.484582249062524895e+00
5.239000000000000057e+01,2.901204885338366876e+04,3.289732287037489655e+00,5.484077573947193862e+00
5.260999999999999943e+01,2.735236265977466246e+04,3.259671295809546621e+00,5.483625301198617130e+00
