t_emb (ms),Isemb (a.u.),Vp2p (V),f (kHz),q (slm),x_pos (mm),y_pos (mm),dsep (mm),T_emb (K),P_emb (W),Pset (W),duty (%),V_emb (kV),I_emb (mA)
1.943500000000000000e+04,0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.560000000000000053e+00,1.200000000000000000e+01,1.000016999999999996e+02,1.669999999999999929e+00,1.219999999999999973e+00
4.135000000000000000e+04,1.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.540000000000000036e+00,0.000000000000000000e+00,1.000019000000000062e+02,1.679999999999999938e+00,1.209999999999999964e+00
4.238800000000000000e+04,2.000000000000000000e+00,9.099999999999999645e+00,2.000000000000000000e+01,2.799999999999999822e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.439999999999999947e+00,2.350000000000000089e+00,1.000019999999999953e+02,1.620000000000000107e+00,1.199999999999999956e+00
4.340100000000000000e+04,1.000000000000000000e+00,6.910000000000000142e+00,2.000000000000000000e+01,3.790000000000000036e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.060000000000000053e+00,2.009999999999999787e+00,1.000018000000000029e+02,1.360000000000000098e+00,1.199999999999999956e+00
4.441400000000000000e+04,1.000000000000000000e+00,5.330000000000000071e+00,2.000000000000000000e+01,5.469999999999999751e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.540000000000000036e+00,1.560000000000000053e+00,1.000018000000000029e+02,1.050000000000000044e+00,1.129999999999999893e+00
4.540600000000000000e+04,2.000000000000000000e+00,5.940000000000000391e+00,2.000000000000000000e+01,5.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.709999999999999964e+00,1.739999999999999991e+00,1.000019000000000062e+02,1.169999999999999929e+00,1.139999999999999902e+00
4.641900000000000000e+04,2.000000000000000000e+00,7.780000000000000249e+00,2.000000000000000000e+01,5.490000000000000213e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.259999999999999787e+00,2.279999999999999805e+00,1.000019000000000062e+02,1.500000000000000000e+00,1.189999999999999947e+00
4.736700000000000000e+04,3.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,5.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.560000000000000053e+00,2.720000000000000195e+00,1.000019999999999953e+02,1.659999999999999920e+00,1.229999999999999982e+00
4.836800000000000000e+04,2.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.969999999999999751e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.560000000000000053e+00,2.910000000000000142e+00,1.000020999999999987e+02,1.669999999999999929e+00,1.229999999999999982e+00
4.939300000000000000e+04,3.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,4.599999999999999645e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.540000000000000036e+00,2.959999999999999964e+00,1.000018000000000029e+02,1.669999999999999929e+00,1.209999999999999964e+00
