t_emb (ms),Isemb (a.u.),Vp2p (V),f (kHz),q (slm),x_pos (mm),y_pos (mm),dsep (mm),T_emb (K),P_emb (W),Pset (W),duty (%),V_emb (kV),I_emb (mA)
2.138100000000000000e+04,0.000000000000000000e+00,7.200000000000000178e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.000000000000000000e+00,1.200000000000000000e+01,1.000015999999999963e+02,1.429999999999999938e+00,1.100000000000000089e+00
4.321500000000000000e+04,1.000000000000000000e+00,7.169999999999999929e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.000000000000000000e+00,0.000000000000000000e+00,1.000016999999999996e+02,1.419999999999999929e+00,1.110000000000000098e+00
4.430100000000000000e+04,2.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,2.040000000000000036e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.479999999999999982e+00,2.580000000000000071e+00,1.000019000000000062e+02,1.689999999999999947e+00,1.169999999999999929e+00
4.532500000000000000e+04,3.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,2.910000000000000142e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.520000000000000018e+00,2.529999999999999805e+00,1.000020999999999987e+02,1.679999999999999938e+00,1.199999999999999956e+00
4.632700000000000000e+04,3.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,3.200000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.520000000000000018e+00,2.609999999999999876e+00,1.000019999999999953e+02,1.679999999999999938e+00,1.189999999999999947e+00
4.733000000000000000e+04,3.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,3.890000000000000124e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.549999999999999822e+00,2.509999999999999787e+00,1.000019999999999953e+02,1.679999999999999938e+00,1.209999999999999964e+00
4.830800000000000000e+04,2.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,3.129999999999999893e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.549999999999999822e+00,2.770000000000000018e+00,1.000019999999999953e+02,1.669999999999999929e+00,1.219999999999999973e+00
4.930900000000000000e+04,4.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,2.479999999999999982e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.520000000000000018e+00,2.990000000000000213e+00,1.000019999999999953e+02,1.679999999999999938e+00,1.189999999999999947e+00
5.031000000000000000e+04,3.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,3.490000000000000213e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.540000000000000036e+00,2.700000000000000178e+00,1.000019999999999953e+02,1.679999999999999938e+00,1.199999999999999956e+00
5.131300000000000000e+04,3.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,3.370000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.540000000000000036e+00,2.729999999999999982e+00,1.000019999999999953e+02,1.679999999999999938e+00,1.209999999999999964e+00
5.233700000000000000e+04,2.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,3.419999999999999929e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.560000000000000053e+00,2.700000000000000178e+00,1.000019999999999953e+02,1.669999999999999929e+00,1.219999999999999973e+00
5.331300000000000000e+04,1.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,3.160000000000000142e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.549999999999999822e+00,2.750000000000000000e+00,1.000015999999999963e+02,1.679999999999999938e+00,1.209999999999999964e+00
5.431300000000000000e+04,0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,3.439999999999999947e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.540000000000000036e+00,2.660000000000000142e+00,1.000015999999999963e+02,1.679999999999999938e+00,1.199999999999999956e+00
5.531600000000000000e+04,1.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,3.240000000000000213e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.549999999999999822e+00,2.700000000000000178e+00,1.000019000000000062e+02,1.679999999999999938e+00,1.209999999999999964e+00
5.631700000000000000e+04,1.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,3.129999999999999893e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.569999999999999840e+00,2.709999999999999964e+00,1.000016999999999996e+02,1.679999999999999938e+00,1.219999999999999973e+00
5.731800000000000000e+04,1.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,3.750000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.549999999999999822e+00,2.520000000000000018e+00,1.000016999999999996e+02,1.669999999999999929e+00,1.219999999999999973e+00
5.832000000000000000e+04,0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,3.479999999999999982e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.540000000000000036e+00,2.589999999999999858e+00,1.000015999999999963e+02,1.679999999999999938e+00,1.209999999999999964e+00
5.932100000000000000e+04,0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,3.319999999999999840e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.549999999999999822e+00,2.640000000000000124e+00,1.000015999999999963e+02,1.689999999999999947e+00,1.209999999999999964e+00
6.032200000000000000e+04,2.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,3.290000000000000036e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.549999999999999822e+00,2.649999999999999911e+00,1.000018000000000029e+02,1.669999999999999929e+00,1.219999999999999973e+00
6.132500000000000000e+04,1.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,3.229999999999999982e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.569999999999999840e+00,2.649999999999999911e+00,1.000016999999999996e+02,1.679999999999999938e+00,1.219999999999999973e+00
6.232500000000000000e+04,1.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,3.729999999999999982e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.540000000000000036e+00,2.509999999999999787e+00,1.000018000000000029e+02,1.689999999999999947e+00,1.199999999999999956e+00
6.332700000000000000e+04,1.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,3.180000000000000160e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.549999999999999822e+00,2.640000000000000124e+00,1.000018000000000029e+02,1.679999999999999938e+00,1.209999999999999964e+00
6.432700000000000000e+04,1.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,3.240000000000000213e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.549999999999999822e+00,2.609999999999999876e+00,1.000018000000000029e+02,1.679999999999999938e+00,1.209999999999999964e+00
6.533000000000000000e+04,1.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,3.209999999999999964e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.540000000000000036e+00,2.600000000000000089e+00,1.000018000000000029e+02,1.689999999999999947e+00,1.199999999999999956e+00
6.632000000000000000e+04,1.000000000000000000e+00,9.589999999999999858e+00,2.000000000000000000e+01,3.609999999999999876e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.560000000000000053e+00,2.470000000000000195e+00,1.000018000000000029e+02,1.649999999999999911e+00,1.239999999999999991e+00
6.731000000000000000e+04,0.000000000000000000e+00,9.390000000000000568e+00,2.000000000000000000e+01,3.560000000000000053e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.500000000000000000e+00,2.470000000000000195e+00,1.000018000000000029e+02,1.649999999999999911e+00,1.209999999999999964e+00
6.832500000000000000e+04,1.000000000000000000e+00,9.740000000000000213e+00,2.000000000000000000e+01,3.470000000000000195e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.560000000000000053e+00,2.529999999999999805e+00,1.000018000000000029e+02,1.659999999999999920e+00,1.229999999999999982e+00
6.932300000000000000e+04,1.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,3.200000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.540000000000000036e+00,2.600000000000000089e+00,1.000018000000000029e+02,1.679999999999999938e+00,1.199999999999999956e+00
7.032400000000000000e+04,0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,3.299999999999999822e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.560000000000000053e+00,2.549999999999999822e+00,1.000016999999999996e+02,1.669999999999999929e+00,1.219999999999999973e+00
7.132200000000000000e+04,1.000000000000000000e+00,9.990000000000000213e+00,2.000000000000000000e+01,3.259999999999999787e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.549999999999999822e+00,2.540000000000000036e+00,1.000015999999999963e+02,1.689999999999999947e+00,1.199999999999999956e+00
7.233600000000000000e+04,0.000000000000000000e+00,8.960000000000000853e+00,2.000000000000000000e+01,3.660000000000000142e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.430000000000000160e+00,2.399999999999999911e+00,1.000015999999999963e+02,1.610000000000000098e+00,1.199999999999999956e+00
7.334900000000000000e+04,1.000000000000000000e+00,8.919999999999999929e+00,2.000000000000000000e+01,3.410000000000000142e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.450000000000000178e+00,2.450000000000000178e+00,1.000015999999999963e+02,1.620000000000000107e+00,1.209999999999999964e+00
7.431400000000000000e+04,1.000000000000000000e+00,9.759999999999999787e+00,2.000000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.540000000000000036e+00,2.569999999999999840e+00,1.000016999999999996e+02,1.659999999999999920e+00,1.219999999999999973e+00
7.530700000000000000e+04,0.000000000000000000e+00,9.099999999999999645e+00,2.000000000000000000e+01,3.520000000000000018e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.450000000000000178e+00,2.419999999999999929e+00,1.000014999999999930e+02,1.629999999999999893e+00,1.199999999999999956e+00
7.631900000000000000e+04,0.000000000000000000e+00,8.759999999999999787e+00,2.000000000000000000e+01,3.479999999999999982e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.399999999999999911e+00,2.419999999999999929e+00,1.000015999999999963e+02,1.600000000000000089e+00,1.199999999999999956e+00
7.733200000000000000e+04,1.000000000000000000e+00,9.050000000000000711e+00,2.000000000000000000e+01,3.310000000000000053e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.439999999999999947e+00,2.470000000000000195e+00,1.000018000000000029e+02,1.620000000000000107e+00,1.199999999999999956e+00
7.834500000000000000e+04,2.000000000000000000e+00,8.730000000000000426e+00,2.000000000000000000e+01,3.589999999999999858e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.450000000000000178e+00,2.410000000000000142e+00,1.000018000000000029e+02,1.590000000000000080e+00,1.229999999999999982e+00
7.933400000000000000e+04,0.000000000000000000e+00,9.220000000000000639e+00,2.000000000000000000e+01,3.299999999999999822e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.509999999999999787e+00,2.500000000000000000e+00,1.000015999999999963e+02,1.629999999999999893e+00,1.229999999999999982e+00
8.032500000000000000e+04,0.000000000000000000e+00,9.519999999999999574e+00,2.000000000000000000e+01,3.290000000000000036e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.500000000000000000e+00,2.509999999999999787e+00,1.000016999999999996e+02,1.659999999999999920e+00,1.199999999999999956e+00
8.131500000000000000e+04,0.000000000000000000e+00,9.349999999999999645e+00,2.000000000000000000e+01,3.419999999999999929e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.490000000000000213e+00,2.470000000000000195e+00,1.000016999999999996e+02,1.639999999999999902e+00,1.209999999999999964e+00
8.232800000000000000e+04,0.000000000000000000e+00,9.050000000000000711e+00,2.000000000000000000e+01,3.490000000000000213e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.490000000000000213e+00,2.439999999999999947e+00,1.000016999999999996e+02,1.620000000000000107e+00,1.229999999999999982e+00
8.331900000000000000e+04,0.000000000000000000e+00,9.500000000000000000e+00,2.000000000000000000e+01,3.160000000000000142e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.490000000000000213e+00,2.520000000000000018e+00,1.000015999999999963e+02,1.649999999999999911e+00,1.199999999999999956e+00
8.433200000000000000e+04,0.000000000000000000e+00,9.330000000000000071e+00,2.000000000000000000e+01,3.350000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.470000000000000195e+00,2.470000000000000195e+00,1.000016999999999996e+02,1.629999999999999893e+00,1.209999999999999964e+00
8.532000000000000000e+04,0.000000000000000000e+00,8.630000000000000782e+00,2.000000000000000000e+01,3.680000000000000160e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.390000000000000124e+00,2.379999999999999893e+00,1.000016999999999996e+02,1.580000000000000071e+00,1.209999999999999964e+00
